pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
0,0,Others,arkansas,17,2021-06-20,-93.61231286399018,33.83302396697251,381.5,581.5,335.0,945.0,2720.5,3276.5,3395.5,3555.0,1517.0,703.5,1
1,0,Others,arkansas,17,2021-06-20,-91.9077596123734,36.211762839321004,614.5,713.0,425.5,867.0,2496.0,2969.5,3418.0,3234.0,1755.0,831.0,1
2,0,Others,arkansas,17,2021-06-20,-90.8742478779939,35.085724630677184,478.0,701.0,515.0,1537.0,1972.0,2184.0,2026.0,2209.0,1464.0,1095.0,1
3,0,Others,arkansas,17,2021-06-20,-91.54259444937881,33.67087805818893,442.0,645.0,540.0,1052.0,2102.0,2452.0,2564.0,2785.0,2542.0,1445.0,1
4,0,Others,arkansas,17,2021-06-20,-90.72467838318799,34.9370534511554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0,Others,arkansas,17,2021-06-20,-91.5996374699204,35.608544126034744,226.0,498.0,208.0,789.0,2855.0,3477.0,3840.0,3917.0,1731.0,689.0,1
6,0,Others,arkansas,17,2021-06-20,-91.78424126080697,33.73286181279318,234.0,426.0,280.0,778.0,2402.0,2985.0,3088.0,3307.0,1471.0,645.0,1
7,0,Others,arkansas,17,2021-06-20,-92.4692066649481,36.44307902498178,370.0,630.0,535.0,956.0,2971.0,3633.0,3626.0,4041.0,2443.0,1251.0,1
8,0,Others,arkansas,17,2021-06-20,-91.8686828975142,35.492212296741265,585.5,830.0,702.5,1117.5,3024.0,3721.5,3662.5,4102.5,2478.0,1266.5,1
9,0,Others,arkansas,17,2021-06-20,-89.94673734714048,33.71669213767903,3760.0,4028.0,3912.0,4398.0,5010.5,5301.5,5104.0,5416.5,4160.5,3728.0,1
10,0,Others,arkansas,17,2021-06-20,-94.23709114409532,34.029305856552625,362.0,666.0,544.0,1245.0,2658.0,3296.0,3404.0,3654.0,2641.0,1354.0,1
11,0,Others,arkansas,17,2021-06-20,-90.07519643276957,33.391052847185705,263.5,555.0,203.0,1002.0,3640.0,4446.0,4516.0,4833.0,1950.5,795.0,1
12,0,Others,arkansas,17,2021-06-20,-91.84667417305327,35.85917409030409,479.0,781.5,887.0,1426.0,2117.5,2369.5,2548.5,2693.0,3350.5,2162.5,1
13,0,Others,arkansas,17,2021-06-20,-92.1844407198822,34.99589310226523,304.5,411.0,247.5,638.0,2272.0,3042.0,2672.5,3380.0,1498.5,675.5,1
14,0,Others,arkansas,17,2021-06-20,-92.59137754358835,34.28981728894728,264.5,573.0,267.5,962.0,2984.0,3489.5,4254.5,3869.0,1905.5,855.5,1
15,0,Others,arkansas,17,2021-06-20,-94.21238747378203,33.23519514539097,234.0,412.0,258.0,774.0,2156.0,2667.0,2670.0,3125.0,1446.0,643.0,1
16,0,Others,arkansas,17,2021-06-20,-94.57485769092426,34.6424060379642,944.0,898.0,672.0,1111.5,2495.0,2991.5,3012.5,3224.5,1729.0,1063.5,1
17,0,Others,arkansas,17,2021-06-20,-89.75404871869685,33.34658624062179,5702.0,5526.0,5376.0,6213.0,6438.5,6541.5,6143.0,6539.0,5278.0,4693.5,1
18,0,Others,arkansas,17,2021-06-20,-94.23933693230562,35.0174526690841,805.0,897.0,795.5,823.0,509.5,579.0,555.5,489.0,481.0,360.5,1
19,0,Others,arkansas,17,2021-06-20,-91.66027375159847,34.575032391655235,232.0,418.0,182.0,757.0,2684.0,3296.0,3328.0,3585.0,1579.0,700.0,1
20,0,Others,arkansas,17,2021-06-20,-92.61383542569135,35.8367162082011,532.5,765.0,358.0,1231.5,3847.0,4776.5,5003.5,5098.5,2387.0,1141.0,1
21,0,Others,arkansas,17,2021-06-20,-89.84837182352939,35.22676013028395,670.5,818.0,806.5,1048.0,2420.0,3028.5,2291.5,3047.5,2055.0,1236.0,1
22,0,Others,arkansas,17,2021-06-20,-91.55247591750413,35.58967950506823,610.0,795.0,651.0,1165.0,2926.0,3615.5,3674.0,3887.5,1929.5,1010.0,1
23,0,Others,arkansas,17,2021-06-20,-94.47783964023935,35.60225591904591,318.0,576.0,260.0,838.0,2987.0,3712.0,3893.0,4001.0,1758.0,718.0,1
24,0,Others,arkansas,17,2021-06-20,-89.73832820122475,35.155344065196445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,0,Others,arkansas,17,2021-06-20,-92.19072892687105,33.59452125903878,755.5,771.0,607.5,1109.0,2642.5,3276.0,3106.5,3549.5,2060.5,1264.5,1
26,0,Others,arkansas,17,2021-06-20,-92.53747862654119,35.39833834955078,242.0,480.0,281.0,779.0,2468.0,2898.0,2954.0,3232.0,1583.0,721.0,1
27,0,Others,arkansas,17,2021-06-20,-93.77221298456347,36.362679807053084,275.5,484.5,247.5,793.5,3079.5,3933.0,4126.0,4210.5,1759.0,748.5,1
28,0,Others,arkansas,17,2021-06-20,-92.27786550943064,33.85413437614932,150.0,346.0,190.0,564.0,1973.0,2429.0,2293.0,2614.0,1208.0,511.0,1
29,0,Others,arkansas,17,2021-06-20,-94.2474217698627,33.79439640975537,312.0,477.0,323.0,794.0,2371.0,2817.0,3010.0,3093.0,1372.0,626.0,1
30,0,Others,arkansas,17,2021-06-20,-94.24562513929445,33.96956789015868,724.0,924.5,1196.0,1849.0,2598.0,3113.0,3394.0,3698.0,4300.0,3053.0,1
31,0,Others,arkansas,17,2021-06-20,-93.32889439185048,33.56397853937872,237.5,407.0,252.0,695.5,2108.0,2610.0,2665.5,2885.5,1207.5,523.5,1
32,0,Others,arkansas,17,2021-06-20,-89.93371177552075,34.946934919280714,665.0,995.0,861.5,1689.5,2824.5,3225.5,3156.0,3441.5,2988.5,1956.0,1
33,0,Others,arkansas,17,2021-06-20,-92.94441545024732,33.29133985064844,249.0,304.5,231.5,469.0,1196.5,1484.5,1672.0,1670.0,1032.0,516.0,1
34,0,Others,arkansas,17,2021-06-20,-92.32143380071044,35.986285703007006,170.0,371.0,153.0,771.0,2870.0,3646.0,3612.0,3937.0,1847.0,743.0,1
35,0,Others,arkansas,17,2021-06-20,-93.02122140703955,33.298077215279335,173.0,436.0,250.0,850.0,2384.0,2939.0,3144.0,3208.0,1501.0,716.0,1
36,0,Others,arkansas,17,2021-06-20,-94.17510738949107,35.33590543730447,1705.0,2043.0,2318.0,2783.0,3235.0,3541.0,3111.0,3476.0,4662.5,5029.0,1
37,0,Others,arkansas,17,2021-06-20,-93.33024186477667,33.17994875541762,320.0,654.0,551.0,1436.0,2728.0,3081.0,3307.0,3407.0,2506.0,1488.0,1
38,0,Others,arkansas,17,2021-06-20,-93.3935730923071,35.40103329540313,374.5,488.5,332.5,760.5,2160.5,2537.5,2583.0,2807.0,1484.5,703.5,1
