pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
7985,4,Soybeans,arkansas,35,2021-12-17,-90.37253879181314,35.16387806039558,263.0,343.0,458.0,792.5,990.5,1156.0,1250.0,1294.0,1436.0,889.0,1
7986,4,Soybeans,arkansas,35,2021-12-17,-90.77767898495104,34.13036632601607,464.5,606.5,822.0,1015.0,1113.5,1242.0,1328.0,1347.5,1928.0,1291.5,1
7987,4,Soybeans,arkansas,35,2021-12-17,-90.98294402737235,33.565326012304894,570.0,715.0,1011.0,1110.0,1181.0,1308.0,1514.0,1489.0,1959.0,1321.0,1
7988,4,Soybeans,arkansas,35,2021-12-17,-91.71776592978212,34.83150140527136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7989,4,Soybeans,arkansas,35,2021-12-17,-90.97171508632086,33.21633052442446,751.0,908.0,962.0,1229.0,1438.0,1560.0,1158.0,1665.0,1738.0,1222.0,1
7990,4,Soybeans,arkansas,35,2021-12-17,-89.965601968107,35.60944244131886,713.5,924.5,1072.0,1640.0,2495.5,2748.5,3036.0,2921.0,2809.5,1910.0,1
7991,4,Soybeans,arkansas,35,2021-12-17,-90.81989980330465,35.96517529383019,659.0,712.0,729.5,847.0,889.0,914.5,976.0,941.0,539.5,341.0,1
7992,4,Soybeans,arkansas,35,2021-12-17,-90.38017447172815,34.03020417183674,534.0,680.0,774.0,1092.0,1426.0,1593.0,1746.0,1819.0,1960.0,1181.0,1
7993,4,Soybeans,arkansas,35,2021-12-17,-90.6150839185254,33.592724628470535,446.0,580.0,726.0,821.0,819.0,854.0,966.0,903.0,837.0,477.0,1
7994,4,Soybeans,arkansas,35,2021-12-17,-90.08283211268459,36.23826314020253,531.5,779.0,793.0,1252.5,2052.5,2198.0,2983.0,2658.5,2736.5,1833.0,1
7995,4,Soybeans,arkansas,35,2021-12-17,-90.02174667336446,35.90723395800448,830.0,1036.0,1151.0,1629.5,2202.0,2396.5,2711.0,2594.0,2884.5,1970.0,1
7996,4,Soybeans,arkansas,35,2021-12-17,-90.18838415856864,36.176728543240344,589.5,824.5,801.0,1407.5,2174.5,2352.5,2720.0,2484.0,2372.0,1562.0,1
7997,4,Soybeans,arkansas,35,2021-12-17,-90.79295034478108,36.3658239105475,548.5,691.0,921.0,1113.5,1170.5,1302.0,1476.5,1466.0,1525.5,928.5,1
7998,4,Soybeans,arkansas,35,2021-12-17,-90.39409835863201,35.03631729005061,506.0,602.0,719.0,901.0,963.0,1047.0,1166.0,1156.0,1223.0,758.0,1
7999,4,Soybeans,arkansas,35,2021-12-17,-90.18299426686391,33.49031668608091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8000,4,Soybeans,arkansas,35,2021-12-17,-91.83050449793912,34.17213798672763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8001,4,Soybeans,arkansas,35,2021-12-17,-91.17383602524775,34.93166355945068,568.0,830.0,959.0,1453.0,1773.0,1950.0,1984.0,2113.0,2322.0,1646.0,1
8002,4,Soybeans,arkansas,35,2021-12-17,-91.74965612236836,34.53146410037544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8003,4,Soybeans,arkansas,35,2021-12-17,-91.11364890121175,33.631352185687675,536.0,738.0,906.0,1139.0,1325.0,1428.0,1562.0,1690.0,2345.0,1624.0,1
8004,4,Soybeans,arkansas,35,2021-12-17,-91.05031767368132,34.981070900077256,472.0,727.0,766.0,1101.0,1584.0,1734.0,2066.0,1946.0,2008.0,1357.0,1
8005,4,Soybeans,arkansas,35,2021-12-17,-91.67419763850232,34.591202066769384,638.0,824.0,1120.0,1494.0,1816.0,2080.0,2348.0,2378.0,2576.0,1712.0,1
8006,4,Soybeans,arkansas,35,2021-12-17,-90.43452254641738,36.40445146776464,805.0,1008.0,1158.0,1171.0,818.0,833.0,747.0,578.0,149.0,125.0,1
8007,4,Soybeans,arkansas,35,2021-12-17,-91.4154828366759,34.99364731405493,258.0,354.0,425.0,826.0,1418.0,1593.0,1488.0,1701.0,1712.0,1226.0,1
8008,4,Soybeans,arkansas,35,2021-12-17,-91.50845846858228,34.70438979256845,639.0,1032.0,884.0,1562.0,2666.0,2851.0,3232.0,2977.0,2666.0,1719.0,1
8009,4,Soybeans,arkansas,35,2021-12-17,-90.19062994677893,35.720833536549684,366.0,644.5,439.5,979.0,2790.5,3245.5,3500.0,3445.0,2074.5,1111.0,1
8010,4,Soybeans,arkansas,35,2021-12-17,-90.18299426686391,33.25855134277808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8011,4,Soybeans,arkansas,35,2021-12-17,-91.4981278428149,34.55077787898401,688.0,1010.0,1156.0,1653.0,2513.0,2841.0,2980.0,3024.0,2890.0,1939.0,1
8012,4,Soybeans,arkansas,35,2021-12-17,-90.66449125915199,33.797540513249785,390.0,492.0,698.0,872.0,991.0,1121.0,1282.0,1328.0,1884.0,1253.0,1
8013,4,Soybeans,arkansas,35,2021-12-17,-90.31324998306124,34.45690393179352,418.0,616.0,600.0,1098.0,1703.0,1836.0,1980.0,2029.0,1575.0,837.0,1
8014,4,Soybeans,arkansas,35,2021-12-17,-89.83534625190966,36.33393371796126,502.0,600.5,801.0,958.5,1027.5,1145.5,1289.0,1329.5,2039.5,1474.5,1
8015,4,Soybeans,arkansas,35,2021-12-17,-90.4098188761041,35.361058265259814,570.0,708.0,857.0,1165.0,1788.0,1976.0,2100.0,2189.0,2673.0,1902.0,1
8016,4,Soybeans,arkansas,35,2021-12-17,-90.43452254641738,35.22720928792601,642.0,762.0,952.0,1013.0,1091.0,1159.0,1356.0,1296.0,2190.0,1664.0,1
8017,4,Soybeans,arkansas,35,2021-12-17,-90.22431676993341,36.486198158619516,582.5,901.0,771.0,1383.5,2207.0,2437.5,2668.0,2535.0,2037.5,1163.5,1
8018,4,Soybeans,arkansas,35,2021-12-17,-90.32178397826038,34.66666055063543,234.0,303.0,331.0,563.0,642.0,710.0,719.0,728.0,202.0,125.0,1
8019,4,Soybeans,arkansas,35,2021-12-17,-90.97351171688909,34.164502306812615,418.0,560.0,632.0,833.0,1061.0,1133.0,1304.0,1285.0,1641.0,1084.0,1
8020,4,Soybeans,arkansas,35,2021-12-17,-90.54681195693232,33.858625952569916,361.0,462.0,615.0,1016.0,1243.0,1350.0,1412.0,1624.0,2000.0,1261.0,1
8021,4,Soybeans,arkansas,35,2021-12-17,-91.19809053791897,35.186335942498566,527.0,719.5,931.0,1138.5,1252.0,1384.0,1574.0,1597.0,2128.5,1423.0,1
8022,4,Soybeans,arkansas,35,2021-12-17,-90.16996869524418,34.382343763211594,532.5,698.0,959.0,1173.0,1281.0,1384.5,1495.0,1506.5,1563.5,915.5,1
8023,4,Soybeans,arkansas,35,2021-12-17,-90.67751683077171,33.95294905740246,403.0,544.0,706.0,852.0,931.0,1037.0,1136.0,1171.0,1175.0,641.0,1
8024,4,Soybeans,arkansas,35,2021-12-17,-91.34496508687252,34.09218792644099,714.0,980.0,1154.0,1464.0,1787.0,1938.0,2126.0,2129.0,2622.0,1962.0,1
8025,4,Soybeans,arkansas,35,2021-12-17,-90.3918525704217,35.0062237280326,678.0,866.0,1022.0,1322.0,1728.0,1870.0,2426.0,2086.0,2407.0,1712.0,1
8026,4,Soybeans,arkansas,35,2021-12-17,-89.9543730270555,35.684900925184905,519.5,804.5,886.5,1472.5,2312.5,2586.5,2982.0,2782.0,2790.5,1862.5,1
8027,4,Soybeans,arkansas,35,2021-12-17,-89.95122892356108,36.2095170511107,552.0,706.5,906.0,1003.5,1046.0,1198.5,1308.0,1314.0,1294.5,748.5,1
8028,4,Soybeans,arkansas,35,2021-12-17,-90.45203969445771,33.877939731178486,474.0,643.0,784.0,1050.0,1170.0,1319.0,1446.0,1506.0,1733.0,1013.0,1
8029,4,Soybeans,arkansas,35,2021-12-17,-91.14508993615593,35.0956060988025,589.0,880.0,1034.0,1410.0,1566.0,1687.0,1988.0,1759.0,2002.0,1406.0,1
8030,4,Soybeans,arkansas,35,2021-12-17,-90.76779751682572,35.33231217616799,435.5,450.5,588.5,930.0,1287.5,1426.5,1762.0,1902.0,1934.0,1178.5,1
8031,4,Soybeans,arkansas,35,2021-12-17,-91.70923193458299,34.44971740952056,582.0,838.0,828.0,949.0,554.0,540.0,482.0,332.0,63.0,51.0,1
8032,4,Soybeans,arkansas,35,2021-12-17,-90.59217687878036,34.84497613453315,320.0,648.0,304.0,992.0,3186.0,3763.0,4268.0,3878.0,1734.0,824.0,1
8033,4,Soybeans,arkansas,35,2021-12-17,-90.37074216124489,33.070354290755034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8034,4,Soybeans,arkansas,35,2021-12-17,-91.47611911835396,33.31873846681408,700.0,912.0,1124.0,1430.0,1541.0,1713.0,1806.0,1870.0,2076.0,1312.0,1
8035,4,Soybeans,arkansas,35,2021-12-17,-91.4545595515351,35.69253660509992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8036,4,Soybeans,arkansas,35,2021-12-17,-91.05705503831221,34.946036603996596,686.0,912.0,1012.0,1330.0,1793.0,1919.0,2104.0,2136.0,2690.0,2015.0,1
8037,4,Soybeans,arkansas,35,2021-12-17,-90.65326231810049,35.56228088890259,553.0,833.0,782.0,1372.0,2461.0,2729.0,3018.0,2899.0,2545.0,1624.0,1
8038,4,Soybeans,arkansas,35,2021-12-17,-91.41638115196002,33.68435278745073,1025.0,1287.5,1140.0,1821.5,3154.5,3424.5,3742.0,3655.0,2776.0,1591.5,1
8039,4,Soybeans,arkansas,35,2021-12-17,-91.29735437681418,33.070354290755034,716.0,946.0,1306.0,1664.0,2006.0,2226.0,2540.0,2658.0,2855.0,1765.0,1
8040,4,Soybeans,arkansas,35,2021-12-17,-89.90451652878687,36.10935489693138,664.0,897.0,1170.0,1402.0,1552.0,1704.0,1938.0,1928.0,2459.0,1723.0,1
8041,4,Soybeans,arkansas,35,2021-12-17,-90.3181907171239,33.25091566286306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8042,4,Soybeans,arkansas,35,2021-12-17,-90.49875208923193,34.5530236671943,582.0,890.0,920.0,1522.0,2485.0,2743.0,3090.0,2971.0,2572.0,1734.0,1
8043,4,Soybeans,arkansas,35,2021-12-17,-91.5672981196921,34.99050321056051,560.0,846.0,688.0,1459.0,2568.0,2920.0,3408.0,3077.0,2387.0,1512.0,1
8044,4,Soybeans,arkansas,35,2021-12-17,-90.48258241411777,35.10638588221193,471.0,512.0,624.0,760.0,915.0,1006.0,1107.0,1078.0,1308.0,810.0,1
8045,4,Soybeans,arkansas,35,2021-12-17,-91.07142808285812,33.64347944202329,582.0,856.0,856.0,1396.0,2103.0,2232.0,2604.0,2432.0,2506.0,1674.0,1
8046,4,Soybeans,arkansas,35,2021-12-17,-91.3395751951678,35.64178179154717,521.0,696.0,810.0,1080.0,1292.0,1435.0,1644.0,1669.0,2081.0,1628.0,1
8047,4,Soybeans,arkansas,35,2021-12-17,-89.85331255759205,36.37615453631488,465.5,604.0,738.5,991.5,1153.0,1301.0,1474.0,1487.0,1525.0,915.5,1
