model,state,config,test_accuracy,macro_f1,kappa,OA,AA
MCTNet,Arkansas,baseline,0.8383529411764706,0.7927912422636664,0.7681509111059743,0.8383529411764706,0.8987318931262782
ECMTNet,Arkansas,baseline,0.8725882352941177,0.8263802152000205,0.8138583081069939,0.8725882352941177,0.9146240303480843
MCTNet,California,baseline,0.8489024390243902,0.7945550913645655,0.8014988615852839,0.8489024390243902,0.8344370539197697
ECMTNet,California,baseline,0.8440243902439024,0.7794991171955145,0.794674416876362,0.8440243902439024,0.8313706738256347
