B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
736.0,836.0,640.0,1514.0,4239.0,5195.0,5147.0,5530.0,2535.0,1069.0,2.0,2021-09-11,Arkansas,zone1,2
683.0,902.0,1060.0,1291.0,1562.0,1774.0,1765.0,1941.0,2847.0,2116.0,1.0,2021-09-11,Arkansas,zone1,2
550.0,812.0,541.0,1341.0,3185.0,3951.0,4328.0,4422.0,2107.0,1026.0,4.0,2021-09-11,Arkansas,zone1,2
689.0,1010.0,930.0,1581.0,2712.0,3349.0,3138.0,3694.0,2541.0,1460.0,4.0,2021-09-11,Arkansas,zone1,2
520.0,886.0,784.0,1695.0,3090.0,3612.0,3652.0,4094.0,2484.0,1420.0,4.0,2021-09-11,Arkansas,zone1,2
3188.0,3724.0,4052.0,4504.0,5298.0,5727.0,5723.0,6150.0,5539.0,4301.0,4.0,2021-09-11,Arkansas,zone1,2
524.0,677.0,570.0,1052.0,2807.0,3422.0,3407.0,3722.0,2534.0,1537.0,4.0,2021-09-11,Arkansas,zone1,2
544.0,804.0,500.0,1363.0,4425.0,5541.0,5481.0,5932.0,2352.0,913.0,2.0,2021-09-11,Arkansas,zone1,2
104.0,162.0,184.0,227.0,270.0,305.0,284.0,330.0,425.0,318.0,3.0,2021-09-11,Arkansas,zone1,2
516.0,943.0,678.0,1402.0,3235.0,3938.0,4384.0,4289.0,2443.0,1236.0,4.0,2021-09-11,Arkansas,zone1,2
928.0,1224.0,863.0,1689.0,3138.0,3613.0,3295.0,3831.0,1554.0,739.0,4.0,2021-09-11,Arkansas,zone1,2
642.0,990.0,828.0,1695.0,2936.0,3452.0,3884.0,4073.0,2917.0,1686.0,4.0,2021-09-11,Arkansas,zone1,2
1294.0,1768.0,2380.0,2665.0,3106.0,3366.0,4205.0,3852.0,3979.0,2667.0,3.0,2021-09-11,Arkansas,zone1,2
728.0,1136.0,1128.0,1412.0,2472.0,2732.0,2566.0,2990.0,2662.0,1706.0,5.0,2021-09-11,Arkansas,zone1,2
714.0,811.0,639.0,1401.0,3444.0,4224.0,4416.0,4648.0,2547.0,1234.0,2.0,2021-09-11,Arkansas,zone1,2
680.0,973.0,1050.0,1718.0,2530.0,2893.0,2854.0,3332.0,2662.0,1602.0,4.0,2021-09-11,Arkansas,zone1,2
333.0,372.0,229.0,427.0,1175.0,1441.0,1504.0,1411.0,557.0,238.0,4.0,2021-09-11,Arkansas,zone1,2
468.0,898.0,558.0,1204.0,3647.0,4532.0,4728.0,4702.0,2046.0,874.0,4.0,2021-09-11,Arkansas,zone1,2
1016.0,1296.0,908.0,1691.0,3255.0,3962.0,4164.0,4419.0,2234.0,1088.0,4.0,2021-09-11,Arkansas,zone1,2
573.0,974.0,778.0,1681.0,2803.0,3332.0,3616.0,3789.0,2615.0,1413.0,4.0,2021-09-11,Arkansas,zone1,2
591.0,852.0,546.0,1272.0,3542.0,4460.0,4517.0,4885.0,1962.0,842.0,4.0,2021-09-11,Arkansas,zone1,2
692.0,1106.0,1010.0,1921.0,3030.0,3540.0,3608.0,3940.0,2318.0,1270.0,4.0,2021-09-11,Arkansas,zone1,2
1000.0,1308.0,1636.0,1975.0,2321.0,2564.0,2629.0,2780.0,3703.0,3130.0,1.0,2021-09-11,Arkansas,zone1,2
877.0,1288.0,1316.0,2100.0,2698.0,3006.0,3232.0,3158.0,2911.0,2163.0,4.0,2021-09-11,Arkansas,zone1,2
924.0,1086.0,778.0,1675.0,4361.0,5234.0,5224.0,5405.0,2350.0,976.0,2.0,2021-09-11,Arkansas,zone1,2
662.0,1094.0,664.0,1670.0,4002.0,4808.0,4869.0,5308.0,2214.0,993.0,4.0,2021-09-11,Arkansas,zone1,2
476.0,1096.0,750.0,1939.0,4093.0,4697.0,4972.0,5176.0,2221.0,1058.0,4.0,2021-09-11,Arkansas,zone1,2
995.0,1428.0,2032.0,2456.0,2382.0,2590.0,2644.0,2905.0,4308.0,3815.0,1.0,2021-09-11,Arkansas,zone1,2
400.0,582.0,387.0,839.0,3221.0,4172.0,4068.0,4553.0,1967.0,891.0,4.0,2021-09-11,Arkansas,zone1,2
720.0,1186.0,855.0,1845.0,3461.0,4058.0,4284.0,4456.0,2147.0,1055.0,4.0,2021-09-11,Arkansas,zone1,2
1078.0,1524.0,2270.0,2945.0,3066.0,3507.0,3600.0,4069.0,5336.0,3803.0,1.0,2021-09-11,Arkansas,zone1,2
682.0,1002.0,726.0,1473.0,3621.0,4416.0,4315.0,4736.0,2199.0,1043.0,4.0,2021-09-11,Arkansas,zone1,2
896.0,938.0,807.0,1424.0,3842.0,4797.0,4607.0,5165.0,2607.0,1302.0,2.0,2021-09-11,Arkansas,zone1,2
502.0,766.0,524.0,1146.0,4109.0,5538.0,5671.0,5939.0,2289.0,925.0,4.0,2021-09-11,Arkansas,zone1,2
693.0,780.0,946.0,1188.0,1232.0,1359.0,1421.0,1499.0,2001.0,1450.0,5.0,2021-09-11,Arkansas,zone1,2
449.0,1088.0,700.0,1766.0,4090.0,4900.0,5176.0,5225.0,2600.0,1320.0,4.0,2021-09-11,Arkansas,zone1,2
932.0,1274.0,1768.0,2063.0,2389.0,2756.0,3271.0,3132.0,2836.0,1920.0,3.0,2021-09-11,Arkansas,zone1,2
650.0,960.0,658.0,1426.0,4210.0,5250.0,5064.0,5594.0,2384.0,936.0,2.0,2021-09-11,Arkansas,zone1,2
848.0,1028.0,748.0,1507.0,4493.0,5556.0,5578.0,5946.0,2448.0,1003.0,2.0,2021-09-11,Arkansas,zone1,2
618.0,961.0,828.0,1594.0,2869.0,3388.0,3376.0,3763.0,2501.0,1426.0,4.0,2021-09-11,Arkansas,zone1,2
844.0,1182.0,802.0,1776.0,3809.0,4512.0,4688.0,4988.0,2885.0,1621.0,4.0,2021-09-11,Arkansas,zone1,2
820.0,1088.0,1286.0,1535.0,1740.0,1894.0,1914.0,1980.0,2656.0,2386.0,3.0,2021-09-11,Arkansas,zone1,2
674.0,982.0,808.0,1513.0,2829.0,3354.0,3683.0,3603.0,2193.0,1311.0,4.0,2021-09-11,Arkansas,zone1,2
408.0,836.0,504.0,1565.0,3591.0,4325.0,4308.0,4883.0,2438.0,1194.0,4.0,2021-09-11,Arkansas,zone1,2
670.0,1108.0,824.0,1964.0,3929.0,4676.0,4848.0,5239.0,2756.0,1332.0,4.0,2021-09-11,Arkansas,zone1,2
550.0,789.0,539.0,1087.0,3957.0,5319.0,5429.0,5611.0,2357.0,943.0,4.0,2021-09-11,Arkansas,zone1,2
1100.0,1544.0,1748.0,2563.0,3507.0,4131.0,4336.0,4656.0,2563.0,1515.0,3.0,2021-09-11,Arkansas,zone1,2
494.0,825.0,514.0,1151.0,3829.0,4906.0,5028.0,5446.0,2519.0,1114.0,4.0,2021-09-11,Arkansas,zone1,2
501.0,825.0,509.0,1181.0,3809.0,4956.0,5148.0,5311.0,2342.0,1001.0,4.0,2021-09-11,Arkansas,zone1,2
1336.0,1844.0,2482.0,3360.0,3927.0,4454.0,4709.0,5153.0,5077.0,3444.0,3.0,2021-09-11,Arkansas,zone1,2
646.0,951.0,656.0,1396.0,3382.0,4114.0,4240.0,4385.0,2205.0,1124.0,4.0,2021-09-11,Arkansas,zone1,2
554.0,796.0,654.0,1099.0,1556.0,1727.0,1385.0,1766.0,956.0,464.0,4.0,2021-09-11,Arkansas,zone1,2
574.0,771.0,526.0,1469.0,4273.0,5157.0,5465.0,5538.0,2479.0,1119.0,2.0,2021-09-11,Arkansas,zone1,2
547.0,800.0,678.0,1276.0,2710.0,3193.0,3148.0,3439.0,2576.0,1472.0,5.0,2021-09-11,Arkansas,zone1,2
574.0,892.0,567.0,1240.0,3947.0,4996.0,5092.0,5329.0,2343.0,968.0,4.0,2021-09-11,Arkansas,zone1,2
447.0,778.0,498.0,1200.0,3658.0,4694.0,4623.0,5085.0,2326.0,1037.0,4.0,2021-09-11,Arkansas,zone1,2
618.0,854.0,704.0,1525.0,2439.0,2883.0,3398.0,3317.0,2740.0,1619.0,4.0,2021-09-11,Arkansas,zone1,2
666.0,980.0,706.0,1399.0,3373.0,4103.0,4277.0,4411.0,2080.0,1047.0,4.0,2021-09-11,Arkansas,zone1,2
941.0,1194.0,1378.0,1766.0,1959.0,2205.0,2155.0,2502.0,3234.0,2236.0,4.0,2021-09-11,Arkansas,zone1,2
522.0,940.0,603.0,1611.0,3207.0,3899.0,4509.0,4376.0,2523.0,1269.0,4.0,2021-09-11,Arkansas,zone1,2
592.0,894.0,578.0,1341.0,4020.0,5121.0,5338.0,5607.0,2206.0,957.0,4.0,2021-09-11,Arkansas,zone1,2
1108.0,1344.0,1116.0,1865.0,2937.0,3400.0,3484.0,3768.0,2447.0,1308.0,4.0,2021-09-11,Arkansas,zone1,2
676.0,892.0,660.0,1450.0,3199.0,3845.0,3816.0,4099.0,2276.0,1153.0,4.0,2021-09-11,Arkansas,zone1,2
629.5,970.0,995.0,1626.0,2921.5,3436.0,3480.0,3885.0,3543.5,2174.0,5.0,2021-09-11,Arkansas,zone1,2
1324.0,1824.0,2410.0,2836.0,2937.0,3199.0,3376.0,3453.0,4963.0,4342.0,1.0,2021-09-11,Arkansas,zone1,2
550.0,794.0,598.0,1382.0,4038.0,5072.0,5200.0,5554.0,2376.0,1024.0,2.0,2021-09-11,Arkansas,zone1,2
766.0,921.0,690.0,1451.0,3752.0,4683.0,4859.0,5060.0,2441.0,1213.0,4.0,2021-09-11,Arkansas,zone1,2
828.0,1264.0,1620.0,2373.0,2890.0,3376.0,3684.0,4019.0,3620.0,2279.0,3.0,2021-09-11,Arkansas,zone1,2
1170.0,1608.0,2412.0,2926.0,3239.0,3657.0,3892.0,4175.0,5293.0,3697.0,1.0,2021-09-11,Arkansas,zone1,2
517.0,730.0,652.0,1119.0,2443.0,2815.0,2744.0,3017.0,2671.0,1664.0,4.0,2021-09-11,Arkansas,zone1,2
486.0,751.0,734.0,1277.0,2270.0,2581.0,2765.0,3038.0,2907.0,1583.0,5.0,2021-09-11,Arkansas,zone1,2
636.0,951.0,740.0,1385.0,2951.0,3476.0,3551.0,3689.0,2552.0,1554.0,4.0,2021-09-11,Arkansas,zone1,2
506.0,942.0,730.0,1681.0,3144.0,3794.0,3863.0,4073.0,1644.0,829.0,3.0,2021-09-11,Arkansas,zone1,2
714.0,1036.0,828.0,1422.0,2542.0,2982.0,2993.0,3249.0,2409.0,1481.0,4.0,2021-09-11,Arkansas,zone1,2
691.0,1018.0,608.0,1321.0,4196.0,5341.0,5466.0,5663.0,2277.0,969.0,4.0,2021-09-11,Arkansas,zone1,2
653.0,1130.0,962.0,1716.0,3011.0,3613.0,3496.0,3838.0,2227.0,1270.0,4.0,2021-09-11,Arkansas,zone1,2
550.0,797.0,548.0,1252.0,3477.0,4461.0,4583.0,4755.0,2176.0,982.0,4.0,2021-09-11,Arkansas,zone1,2
6556.0,6904.0,7456.0,8427.0,8751.0,8991.0,8592.0,9119.0,8621.0,7624.0,2.0,2021-09-11,Arkansas,zone1,2
642.0,1076.0,770.0,1640.0,3612.0,4208.0,4473.0,4598.0,2448.0,1230.0,4.0,2021-09-11,Arkansas,zone1,2
841.0,1136.0,749.0,1520.0,4164.0,5276.0,5392.0,5756.0,2460.0,1070.0,4.0,2021-09-11,Arkansas,zone1,2
472.0,874.0,984.0,1652.0,2051.0,2366.0,2707.0,2942.0,2951.0,1747.0,4.0,2021-09-11,Arkansas,zone1,2
680.0,1034.0,720.0,1811.0,3137.0,3656.0,3709.0,4060.0,2300.0,1198.0,4.0,2021-09-11,Arkansas,zone1,2
712.0,1132.0,845.0,1821.0,3042.0,3661.0,3828.0,4097.0,2238.0,1176.0,4.0,2021-09-11,Arkansas,zone1,2
560.0,869.0,640.0,1184.0,3318.0,4273.0,4120.0,4536.0,2166.0,1006.0,4.0,2021-09-11,Arkansas,zone1,2
439.0,866.0,756.0,1373.0,2851.0,3376.0,3420.0,3761.0,2707.0,1640.0,4.0,2021-09-11,Arkansas,zone1,2
1092.0,1410.0,1912.0,2283.0,2598.0,2815.0,2866.0,3058.0,4574.0,4120.0,1.0,2021-09-11,Arkansas,zone1,2
674.0,935.0,1012.0,1487.0,2036.0,2375.0,2566.0,2849.0,3041.0,1909.0,4.0,2021-09-11,Arkansas,zone1,2
535.0,830.0,531.0,1192.0,4051.0,5519.0,5455.0,5953.0,2426.0,1013.0,4.0,2021-09-11,Arkansas,zone1,2
542.0,704.0,570.0,1303.0,3654.0,4590.0,4893.0,5268.0,2798.0,1261.0,2.0,2021-09-11,Arkansas,zone1,2
712.0,914.0,768.0,1607.0,3748.0,4459.0,4588.0,4835.0,2544.0,1217.0,2.0,2021-09-11,Arkansas,zone1,2
