B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
1836.0,2244.0,2866.0,3307.0,3484.0,3719.0,3817.0,3993.0,5636.0,5380.0,4.0,2021-07-01,Arkansas,zone1,1
458.0,602.0,358.0,748.0,2973.0,4538.0,4508.0,4781.0,1785.0,808.0,1.0,2021-07-01,Arkansas,zone1,1
748.0,1019.0,1097.0,1619.0,2456.5,2781.0,3005.0,3138.0,4186.5,3187.0,2.0,2021-07-01,Arkansas,zone1,1
304.5,466.5,251.5,569.5,2648.0,4178.0,4206.0,4279.5,1609.5,758.0,1.0,2021-07-01,Arkansas,zone1,1
284.0,536.0,201.0,782.0,2939.0,4157.0,4088.0,4275.0,1449.0,706.0,3.0,2021-07-01,Arkansas,zone1,1
821.5,1104.0,1009.5,1516.5,2865.5,3402.5,3187.0,3587.5,2660.5,1732.5,4.0,2021-07-01,Arkansas,zone1,1
436.5,665.5,407.0,967.0,2633.5,3207.5,3480.0,3396.5,2179.5,1200.0,4.0,2021-07-01,Arkansas,zone1,1
324.0,526.0,252.0,787.0,3434.0,4627.0,4788.0,4758.0,2159.0,1035.0,4.0,2021-07-01,Arkansas,zone1,1
434.0,447.0,264.0,520.0,1573.0,2027.0,2141.0,2008.0,835.0,399.0,4.0,2021-07-01,Arkansas,zone1,1
1125.5,1611.0,2050.0,2677.0,3159.0,3419.0,3369.0,3654.5,4675.5,4148.5,4.0,2021-07-01,Arkansas,zone1,1
387.0,643.0,218.0,893.0,3316.0,4237.0,4332.0,4137.0,1913.0,927.0,3.0,2021-07-01,Arkansas,zone1,1
350.0,561.0,423.0,879.0,2329.0,2928.0,3071.0,3036.0,2057.0,1132.0,4.0,2021-07-01,Arkansas,zone1,1
684.5,949.0,998.5,1450.0,2392.5,2615.5,2311.0,2844.0,2976.5,2156.5,4.0,2021-07-01,Arkansas,zone1,1
1668.0,2236.0,2758.0,3353.0,4075.0,4469.0,4560.0,4712.0,5597.0,5021.0,4.0,2021-07-01,Arkansas,zone1,1
351.0,460.0,257.0,528.0,3012.0,5167.0,5288.0,5472.0,1685.0,669.0,1.0,2021-07-01,Arkansas,zone1,1
960.0,1182.0,1422.0,1666.0,1855.0,2020.0,2170.0,2242.0,3239.0,2605.0,4.0,2021-07-01,Arkansas,zone1,1
369.0,514.0,306.0,681.0,1486.0,1860.0,1714.0,1671.0,641.0,374.0,3.0,2021-07-01,Arkansas,zone1,1
2115.5,2303.0,2097.0,2764.0,3530.0,3732.5,3566.0,3870.5,3320.5,2473.0,4.0,2021-07-01,Arkansas,zone1,1
1283.0,1692.0,1867.0,2499.0,3021.0,3259.5,3424.0,3514.0,4252.5,3225.5,5.0,2021-07-01,Arkansas,zone1,1
622.0,843.5,421.0,1087.0,3193.0,4174.5,4330.0,4304.5,1908.0,1021.5,3.0,2021-07-01,Arkansas,zone1,1
1358.0,1894.0,2128.0,2786.0,4066.0,4697.0,4924.0,5044.0,5103.0,4059.0,3.0,2021-07-01,Arkansas,zone1,1
244.0,433.0,175.0,606.0,2284.0,3188.0,2868.0,3232.0,1221.0,648.0,3.0,2021-07-01,Arkansas,zone1,1
1094.0,1556.0,1634.0,2215.0,3125.0,3366.0,3619.0,3632.0,3735.0,2939.0,4.0,2021-07-01,Arkansas,zone1,1
615.0,870.0,825.0,1360.0,2656.5,3156.5,3464.0,3362.5,2933.5,2185.5,4.0,2021-07-01,Arkansas,zone1,1
