B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
463.0,743.0,823.0,1265.0,1808.0,1971.5,2155.0,2228.0,2188.5,1406.5,4.0,2021-11-21,Arkansas,zone1,3
722.0,884.0,1092.0,1301.0,1406.0,1509.0,1678.0,1713.0,2598.0,1882.0,4.0,2021-11-21,Arkansas,zone1,3
505.0,987.5,992.0,1851.0,3109.0,3335.5,3638.0,3531.0,2814.5,1913.5,1.0,2021-11-21,Arkansas,zone1,3
475.0,799.0,1106.0,1687.0,2252.0,2545.0,3008.0,3148.5,2885.5,1739.5,2.0,2021-11-21,Arkansas,zone1,3
1064.0,1351.0,1990.0,2213.0,2307.0,2473.0,2795.0,2768.0,3304.0,2368.5,3.0,2021-11-21,Arkansas,zone1,3
511.0,759.5,991.0,1214.0,1349.5,1435.5,1580.0,1674.0,2435.0,1838.0,4.0,2021-11-21,Arkansas,zone1,3
397.0,595.0,696.5,1082.5,1612.5,1807.5,1951.0,2001.5,1883.5,1072.5,4.0,2021-11-21,Arkansas,zone1,3
479.0,624.0,806.0,947.0,1008.0,1082.0,1246.0,1250.0,1335.0,839.0,4.0,2021-11-21,Arkansas,zone1,3
347.0,531.0,835.0,977.0,1054.0,1237.0,1416.0,1449.0,1771.0,1057.0,4.0,2021-11-21,Arkansas,zone1,3
733.5,957.0,1180.0,1493.5,1725.0,1852.5,1979.5,2067.5,3286.0,2478.0,4.0,2021-11-21,Arkansas,zone1,3
895.0,1244.0,1732.0,2020.5,2199.5,2362.0,2676.0,2667.0,3496.0,2389.5,3.0,2021-11-21,Arkansas,zone1,3
373.0,552.0,748.0,960.0,1182.0,1293.0,1556.0,1504.0,1868.0,1071.0,4.0,2021-11-21,Arkansas,zone1,3
309.0,473.0,613.5,871.5,1067.5,1117.5,1270.0,1342.0,1564.5,927.0,4.0,2021-11-21,Arkansas,zone1,3
706.0,954.0,1120.0,1447.5,1827.0,1932.5,2170.0,2113.0,2628.0,1817.5,4.0,2021-11-21,Arkansas,zone1,3
632.5,951.5,1261.0,1664.0,1983.5,2145.5,2323.0,2390.5,2685.0,1887.5,1.0,2021-11-21,Arkansas,zone1,3
295.0,412.0,570.0,702.0,777.0,883.0,1013.0,1063.0,1317.0,740.0,4.0,2021-11-21,Arkansas,zone1,3
455.0,698.0,1098.0,1371.0,1529.0,1719.0,1906.0,1947.0,2353.0,1460.0,3.0,2021-11-21,Arkansas,zone1,3
588.0,858.0,1218.0,1286.0,1258.5,1409.0,1709.0,1648.0,1569.5,1053.0,3.0,2021-11-21,Arkansas,zone1,3
567.0,784.0,937.0,1167.5,1298.5,1413.0,1579.0,1574.0,2245.0,1515.0,4.0,2021-11-21,Arkansas,zone1,3
487.5,813.0,1059.0,1436.0,1879.5,2041.5,2333.0,2363.0,2398.5,1555.5,5.0,2021-11-21,Arkansas,zone1,3
483.0,610.0,824.0,954.0,1042.0,1125.0,1248.0,1313.0,1656.0,1002.0,4.0,2021-11-21,Arkansas,zone1,3
833.0,1108.0,1548.0,1745.5,1836.5,1940.0,2183.0,2199.0,2723.5,1997.0,3.0,2021-11-21,Arkansas,zone1,3
830.0,1294.0,1880.0,2321.5,2465.5,2605.5,2748.5,2876.5,2370.0,1608.0,3.0,2021-11-21,Arkansas,zone1,3
558.0,833.0,1148.0,1561.0,1754.5,1818.0,1886.5,2065.5,2445.0,1772.5,3.0,2021-11-21,Arkansas,zone1,3
641.5,989.0,1454.0,1751.5,1858.5,2081.5,2232.0,2334.0,1441.5,884.5,3.0,2021-11-21,Arkansas,zone1,3
634.0,858.0,1228.0,1432.0,1683.0,1784.0,2008.0,2069.0,2598.0,1821.0,4.0,2021-11-21,Arkansas,zone1,3
359.5,559.0,673.5,915.0,1227.0,1252.0,1645.0,1428.5,1779.0,1150.0,4.0,2021-11-21,Arkansas,zone1,3
325.0,460.0,762.0,854.0,921.0,1006.0,1191.5,1195.5,1616.5,1051.5,1.0,2021-11-21,Arkansas,zone1,3
974.0,1382.0,1778.0,2288.5,2239.5,2403.0,2343.5,2503.5,2543.0,2021.5,5.0,2021-11-21,Arkansas,zone1,3
340.0,590.0,689.0,1003.0,1290.0,1366.0,1724.0,1552.0,1804.0,1148.0,4.0,2021-11-21,Arkansas,zone1,3
322.0,500.0,678.0,863.0,984.0,1103.5,1228.0,1276.5,1725.5,1197.5,2.0,2021-11-21,Arkansas,zone1,3
330.5,570.5,625.0,989.0,1452.5,1582.5,1754.0,1756.0,1830.5,1093.5,4.0,2021-11-21,Arkansas,zone1,3
333.0,522.5,820.5,1012.0,1100.0,1200.0,1360.0,1375.0,1650.5,1101.0,3.0,2021-11-21,Arkansas,zone1,3
1369.0,1796.0,2171.0,2164.0,1648.0,1632.5,1614.5,1224.0,138.5,107.0,3.0,2021-11-21,Arkansas,zone1,3
689.5,1017.5,1404.0,1722.5,1850.5,2026.0,2216.0,2282.5,2824.5,2078.0,4.0,2021-11-21,Arkansas,zone1,3
498.5,812.0,1055.0,1387.5,1600.0,1774.5,1802.5,1976.5,2570.0,1973.0,4.0,2021-11-21,Arkansas,zone1,3
402.0,722.0,780.0,1296.0,2065.0,2285.0,2428.0,2401.0,1749.0,984.0,1.0,2021-11-21,Arkansas,zone1,3
785.0,920.0,1155.0,1372.5,1563.0,1670.0,1861.0,1881.0,2803.5,2013.5,4.0,2021-11-21,Arkansas,zone1,3
622.0,857.0,1105.0,1511.5,1663.5,1826.0,1908.0,2113.0,3110.5,2141.5,4.0,2021-11-21,Arkansas,zone1,3
197.5,358.0,497.0,756.5,901.5,959.5,1043.0,1266.0,1690.0,1082.5,4.0,2021-11-21,Arkansas,zone1,3
228.0,356.0,536.0,635.0,690.0,760.0,853.0,882.0,1295.0,851.0,4.0,2021-11-21,Arkansas,zone1,3
259.0,405.0,698.0,805.0,881.0,958.0,1119.0,1104.0,1487.0,888.0,4.0,2021-11-21,Arkansas,zone1,3
664.0,914.0,1147.0,1425.5,1631.5,1737.5,1864.0,1922.5,2769.0,1925.0,4.0,2021-11-21,Arkansas,zone1,3
588.5,830.0,1170.0,1451.5,1589.5,1712.5,1673.5,1864.5,2531.0,2077.0,3.0,2021-11-21,Arkansas,zone1,3
478.0,982.0,939.0,1710.0,2657.0,2827.0,3074.0,3064.0,2746.0,1806.0,4.0,2021-11-21,Arkansas,zone1,3
222.5,517.0,540.0,1111.0,1820.5,2098.5,2429.0,2506.5,2046.0,1149.0,2.0,2021-11-21,Arkansas,zone1,3
740.5,1080.0,1453.0,1766.0,1901.0,2019.5,2161.0,2266.5,3095.0,2501.5,3.0,2021-11-21,Arkansas,zone1,3
434.0,599.5,847.0,835.5,994.5,993.0,1552.5,1182.5,1458.0,901.5,4.0,2021-11-21,Arkansas,zone1,3
