B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
826.0,1108.0,1136.0,1699.0,2112.0,2369.0,2391.0,2561.0,3235.0,2407.0,4.0,2021-07-11,Arkansas,zone1,2
600.0,910.0,773.0,1435.0,3237.0,3768.0,3840.0,4072.0,3753.0,2501.0,2.0,2021-07-11,Arkansas,zone1,2
316.0,483.0,286.0,602.0,2596.0,4209.0,4132.0,4441.0,1685.0,747.0,1.0,2021-07-11,Arkansas,zone1,2
291.0,582.0,275.0,909.0,3388.0,4514.0,4844.0,4873.0,2249.0,1078.0,4.0,2021-07-11,Arkansas,zone1,2
400.0,535.0,336.0,744.0,3036.0,4301.0,4351.0,4585.0,1868.0,832.0,4.0,2021-07-11,Arkansas,zone1,2
1180.0,1654.0,1810.0,2567.0,3906.0,4495.0,4444.0,4741.0,4968.0,4135.0,4.0,2021-07-11,Arkansas,zone1,2
483.0,751.0,348.0,969.0,3542.0,5076.0,5340.0,5235.0,2203.0,1063.0,3.0,2021-07-11,Arkansas,zone1,2
620.0,772.0,592.0,1015.0,2852.0,3700.0,3797.0,3836.0,2228.0,1094.0,4.0,2021-07-11,Arkansas,zone1,2
534.5,809.0,708.0,1220.0,2891.0,3424.5,2905.5,3477.0,2670.0,1661.5,4.0,2021-07-11,Arkansas,zone1,2
706.0,1004.0,877.0,1447.0,2898.0,3351.0,3592.0,3524.0,3042.0,1941.0,4.0,2021-07-11,Arkansas,zone1,2
380.0,499.0,344.0,619.0,2873.0,4782.0,4776.0,5102.0,1742.0,709.0,1.0,2021-07-11,Arkansas,zone1,2
946.0,1092.0,1142.0,1564.0,2141.0,2483.0,2664.0,2668.0,3405.0,2617.0,4.0,2021-07-11,Arkansas,zone1,2
920.0,1219.0,1359.0,1857.0,2990.0,3371.5,3408.5,3620.0,3721.0,2542.0,5.0,2021-07-11,Arkansas,zone1,2
444.0,564.0,377.0,743.0,2319.0,3605.0,3327.0,3608.0,1262.0,624.0,3.0,2021-07-11,Arkansas,zone1,2
672.0,728.0,507.0,750.0,1403.0,1692.0,1456.0,1545.0,438.0,209.0,4.0,2021-07-11,Arkansas,zone1,2
