B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
342.5,662.5,476.5,1191.5,2465.0,2916.0,2997.0,3154.0,2318.0,1302.5,4.0,2021-08-11,Arkansas,zone1,2
349.0,598.0,432.0,891.0,2507.0,3348.0,3368.0,3708.0,1840.0,918.0,1.0,2021-08-11,Arkansas,zone1,2
293.0,648.0,318.0,1116.0,3188.0,4159.0,4020.0,4412.0,1439.0,666.0,3.0,2021-08-11,Arkansas,zone1,2
305.5,478.0,242.5,702.5,3939.5,5616.5,5510.0,5902.0,2048.5,845.5,4.0,2021-08-11,Arkansas,zone1,2
257.0,470.0,268.0,827.0,4194.0,5632.0,5396.0,5838.0,2615.0,1233.0,4.0,2021-08-11,Arkansas,zone1,2
250.0,606.0,207.0,931.0,3695.0,5059.0,5064.0,5355.0,1867.0,824.0,3.0,2021-08-11,Arkansas,zone1,2
242.0,443.0,214.0,707.0,4225.0,5587.0,5584.0,5889.0,2378.0,1017.0,4.0,2021-08-11,Arkansas,zone1,2
279.0,529.0,314.0,791.0,2908.0,4017.0,3916.0,4339.0,1597.0,660.0,1.0,2021-08-11,Arkansas,zone1,2
370.0,719.0,374.0,1121.0,3319.0,4251.0,4112.0,4488.0,1636.0,810.0,3.0,2021-08-11,Arkansas,zone1,2
243.0,512.0,256.0,777.0,2503.0,3386.0,3160.0,3480.0,1106.0,480.0,3.0,2021-08-11,Arkansas,zone1,2
339.5,525.5,273.5,784.0,4140.0,5693.0,5720.0,6086.5,2345.0,1022.0,4.0,2021-08-11,Arkansas,zone1,2
5038.0,5186.0,4951.0,5710.5,6360.0,6735.5,6834.0,6776.0,3786.0,2553.5,3.0,2021-08-11,Arkansas,zone1,2
189.0,322.0,179.0,495.0,2380.0,3917.0,3908.0,4055.0,1380.0,628.0,3.0,2021-08-11,Arkansas,zone1,2
456.0,726.0,584.0,1035.0,2938.0,3858.0,3892.0,4341.0,1913.0,1010.0,3.0,2021-08-11,Arkansas,zone1,2
248.0,540.0,323.5,948.5,2452.5,3156.5,2929.0,3380.5,1110.5,525.0,3.0,2021-08-11,Arkansas,zone1,2
1332.0,1648.0,2172.0,2448.0,2641.0,2797.0,2749.0,3013.0,4026.0,3612.0,5.0,2021-08-11,Arkansas,zone1,2
317.5,676.5,333.0,1130.5,3602.5,5059.0,4990.0,5379.5,1763.5,792.5,3.0,2021-08-11,Arkansas,zone1,2
354.5,501.5,342.0,745.5,3409.5,4841.5,4722.0,5221.0,2302.5,1086.5,4.0,2021-08-11,Arkansas,zone1,2
243.0,460.0,314.0,788.0,3456.0,4609.0,5004.0,5045.0,2056.0,997.0,4.0,2021-08-11,Arkansas,zone1,2
794.0,992.0,901.5,1780.5,3830.0,4965.5,4494.0,5269.5,2666.0,1911.0,4.0,2021-08-11,Arkansas,zone1,2
270.0,460.0,264.0,709.0,3368.0,4675.0,4388.0,5075.0,1827.0,754.0,4.0,2021-08-11,Arkansas,zone1,2
342.5,512.5,279.0,862.5,3517.0,4841.0,5288.0,4972.0,2120.0,949.5,4.0,2021-08-11,Arkansas,zone1,2
281.0,590.0,302.0,912.0,2712.0,3680.0,3919.0,3846.0,1221.0,538.0,3.0,2021-08-11,Arkansas,zone1,2
370.0,681.0,429.5,1145.0,3131.5,4124.5,4038.0,4478.5,1593.5,812.0,3.0,2021-08-11,Arkansas,zone1,2
272.0,488.0,270.0,820.0,3861.0,5144.0,4996.0,5388.0,2359.0,1080.0,4.0,2021-08-11,Arkansas,zone1,2
327.0,742.0,340.0,1263.0,3646.0,4834.0,4793.0,5089.0,1616.0,729.0,3.0,2021-08-11,Arkansas,zone1,2
178.0,413.0,157.0,653.0,3180.0,5168.0,5183.0,5489.0,1837.0,811.0,3.0,2021-08-11,Arkansas,zone1,2
215.0,382.0,221.0,728.0,3784.0,5261.0,5236.0,5520.0,2067.0,919.0,4.0,2021-08-11,Arkansas,zone1,2
1028.0,1444.0,1642.0,2290.0,3034.0,3379.0,3556.0,3740.0,4160.0,3373.0,4.0,2021-08-11,Arkansas,zone1,2
261.0,412.0,211.5,721.5,4019.5,5732.5,5628.0,6001.5,2160.5,907.0,4.0,2021-08-11,Arkansas,zone1,2
303.0,495.0,250.0,779.0,4133.0,5604.0,5480.0,5934.0,2277.0,961.0,4.0,2021-08-11,Arkansas,zone1,2
285.0,639.0,358.0,1056.0,2730.0,3373.0,3272.0,3616.0,1179.0,531.0,3.0,2021-08-11,Arkansas,zone1,2
3484.0,3432.0,3243.0,4061.0,6246.0,7154.5,6886.0,7252.0,4483.0,3220.5,2.0,2021-08-11,Arkansas,zone1,2
541.0,828.5,789.0,1398.5,2766.0,3453.0,3504.0,3862.0,2603.0,1451.5,1.0,2021-08-11,Arkansas,zone1,2
1022.0,1396.0,1684.0,2161.0,2494.0,2650.0,2645.0,3032.0,3767.0,2934.0,5.0,2021-08-11,Arkansas,zone1,2
235.0,486.0,244.0,875.0,3251.0,4516.0,4436.0,4612.0,1610.0,705.0,3.0,2021-08-11,Arkansas,zone1,2
290.0,554.0,384.0,878.0,2649.0,3485.0,3496.0,3847.0,1595.0,733.0,1.0,2021-08-11,Arkansas,zone1,2
276.0,618.0,319.0,1087.0,3108.0,4107.0,4096.0,4461.0,1375.0,602.0,3.0,2021-08-11,Arkansas,zone1,2
2312.5,2245.0,1988.0,2618.5,4710.0,5572.5,5378.0,5632.0,3237.0,1976.0,4.0,2021-08-11,Arkansas,zone1,2
581.0,973.0,903.0,1668.0,3189.5,3847.0,3948.0,4393.0,2847.0,1518.5,1.0,2021-08-11,Arkansas,zone1,2
300.5,549.0,332.0,798.5,3427.0,4441.5,4180.0,4600.0,2047.0,978.0,4.0,2021-08-11,Arkansas,zone1,2
289.0,538.0,317.0,865.0,3086.0,3782.0,3500.0,3826.0,1831.0,837.0,4.0,2021-08-11,Arkansas,zone1,2
249.0,485.0,286.0,649.5,2863.5,4156.5,4166.5,4462.5,1619.5,668.0,1.0,2021-08-11,Arkansas,zone1,2
334.0,491.0,306.0,728.0,3177.0,4488.0,4320.0,4802.0,1978.0,910.0,4.0,2021-08-11,Arkansas,zone1,2
226.0,442.0,231.0,708.0,2557.0,3803.0,3752.0,4149.0,1238.0,538.0,3.0,2021-08-11,Arkansas,zone1,2
186.0,332.0,177.0,533.0,2814.0,4617.0,4449.0,4866.0,1557.0,667.0,3.0,2021-08-11,Arkansas,zone1,2
263.0,462.0,262.0,751.0,3769.0,5154.0,5008.0,5440.0,2205.0,952.0,4.0,2021-08-11,Arkansas,zone1,2
270.0,507.0,259.0,797.0,3606.0,4574.0,4308.0,4753.0,2024.0,906.0,4.0,2021-08-11,Arkansas,zone1,2
192.0,314.0,139.0,488.0,2620.0,4425.0,4296.0,4546.0,1337.0,572.0,3.0,2021-08-11,Arkansas,zone1,2
1306.0,1760.0,1604.0,2109.0,3634.0,4350.0,4080.0,4675.0,3157.0,2232.0,4.0,2021-08-11,Arkansas,zone1,2
268.0,513.0,255.0,841.0,2893.0,4064.0,3940.0,4339.0,1391.0,618.0,3.0,2021-08-11,Arkansas,zone1,2
390.0,774.0,475.0,1314.0,2498.0,2819.0,2699.0,2899.0,1201.0,641.0,3.0,2021-08-11,Arkansas,zone1,2
272.0,540.0,340.0,855.0,3055.0,3868.0,3841.0,4061.0,2079.0,1024.0,4.0,2021-08-11,Arkansas,zone1,2
312.0,722.0,442.0,1279.0,3097.0,3847.0,3660.0,3994.0,1417.0,656.0,3.0,2021-08-11,Arkansas,zone1,2
348.0,648.0,528.0,1162.0,2320.0,2640.0,2600.0,2803.0,2371.0,1368.0,4.0,2021-08-11,Arkansas,zone1,2
565.0,934.0,814.0,1446.0,3022.0,3799.0,3836.0,4234.0,2444.0,1342.0,1.0,2021-08-11,Arkansas,zone1,2
201.0,397.0,219.5,650.5,3913.5,5581.0,5420.0,5943.5,2196.0,892.0,4.0,2021-08-11,Arkansas,zone1,2
1043.0,1308.0,1438.0,1682.0,3337.5,4176.0,4050.0,4538.5,3057.5,2110.0,4.0,2021-08-11,Arkansas,zone1,2
242.0,514.0,268.0,911.0,2930.0,3968.0,4128.0,4238.0,1303.0,610.0,3.0,2021-08-11,Arkansas,zone1,2
370.0,647.0,664.0,1100.0,2327.5,2922.0,2920.0,3345.5,2289.0,1216.5,1.0,2021-08-11,Arkansas,zone1,2
292.0,594.0,302.0,936.0,2995.0,3984.0,3948.0,4251.0,1313.0,580.0,3.0,2021-08-11,Arkansas,zone1,2
203.0,365.0,191.0,697.0,3421.0,5163.0,5220.0,5201.0,1956.0,833.0,4.0,2021-08-11,Arkansas,zone1,2
328.0,692.0,362.0,1146.0,3312.0,4324.0,4164.0,4618.0,1458.0,680.0,3.0,2021-08-11,Arkansas,zone1,2
202.0,409.0,208.0,637.0,2476.0,3780.0,3663.0,4052.0,1244.0,532.0,3.0,2021-08-11,Arkansas,zone1,2
252.5,412.5,241.0,634.0,3474.5,5102.0,4894.0,5373.0,1848.0,782.0,4.0,2021-08-11,Arkansas,zone1,2
281.0,532.0,304.0,790.0,2459.0,3430.0,3384.0,3708.0,1396.0,677.0,3.0,2021-08-11,Arkansas,zone1,2
211.0,374.0,173.0,560.0,3588.0,5049.0,5024.0,5269.0,1885.0,740.0,4.0,2021-08-11,Arkansas,zone1,2
208.0,388.0,218.0,630.0,3364.0,4790.0,4688.0,5025.0,1834.0,807.0,4.0,2021-08-11,Arkansas,zone1,2
235.0,456.0,240.0,753.0,2701.0,3893.0,3856.0,4134.0,1360.0,626.0,3.0,2021-08-11,Arkansas,zone1,2
371.0,732.0,711.0,1196.0,2359.0,2826.0,2800.0,3147.0,2020.0,1054.0,1.0,2021-08-11,Arkansas,zone1,2
480.0,809.0,645.0,948.5,2830.0,3723.0,3309.5,3918.5,1786.0,961.5,3.0,2021-08-11,Arkansas,zone1,2
334.0,676.0,410.0,1115.0,2964.0,3610.0,3513.0,3957.0,1561.0,744.0,3.0,2021-08-11,Arkansas,zone1,2
270.0,442.0,238.0,674.0,3775.0,5367.0,5380.0,5565.0,2057.0,867.0,4.0,2021-08-11,Arkansas,zone1,2
725.0,1062.0,1100.0,1450.0,2953.0,3433.0,3708.0,3825.0,2996.0,1968.0,4.0,2021-08-11,Arkansas,zone1,2
267.0,545.5,268.0,861.0,2857.5,3891.0,4004.0,4175.0,1367.5,620.0,3.0,2021-08-11,Arkansas,zone1,2
946.0,1382.0,1742.0,2252.0,2937.0,3303.0,3152.0,3618.0,4147.0,3229.0,4.0,2021-08-11,Arkansas,zone1,2
354.0,778.0,400.0,1257.0,3153.0,3711.0,3661.0,3909.0,1403.0,663.0,3.0,2021-08-11,Arkansas,zone1,2
246.0,439.0,208.0,669.0,2743.0,4367.0,4084.0,4575.0,1533.0,655.0,3.0,2021-08-11,Arkansas,zone1,2
410.0,592.0,546.0,927.0,2319.0,2741.0,2386.0,2975.0,1816.0,991.0,4.0,2021-08-11,Arkansas,zone1,2
706.0,995.0,1304.0,1803.0,2469.0,2776.0,2764.0,3153.0,3407.0,2394.0,4.0,2021-08-11,Arkansas,zone1,2
590.0,958.0,876.0,1398.0,3737.0,4469.0,4177.0,4681.0,2944.0,1761.0,4.0,2021-08-11,Arkansas,zone1,2
248.0,504.0,223.0,865.0,4373.0,5739.0,5612.0,5958.0,2465.0,1102.0,4.0,2021-08-11,Arkansas,zone1,2
213.0,394.0,233.0,645.0,3190.0,4311.0,4229.0,4717.0,1862.0,827.0,4.0,2021-08-11,Arkansas,zone1,2
546.5,701.5,737.5,1209.5,3208.0,4236.5,3424.0,4735.5,2998.0,1643.5,4.0,2021-08-11,Arkansas,zone1,2
1980.0,2486.0,2710.0,2908.0,3750.0,4156.0,4272.0,4421.0,4502.0,3835.0,4.0,2021-08-11,Arkansas,zone1,2
288.0,580.0,291.0,950.0,3149.0,4609.0,4495.0,4911.0,1478.0,674.0,3.0,2021-08-11,Arkansas,zone1,2
564.0,918.0,859.0,1502.5,3100.5,3718.5,3716.0,4104.0,2710.5,1624.0,4.0,2021-08-11,Arkansas,zone1,2
359.0,764.0,456.0,1309.0,3123.0,3715.0,3728.0,3909.0,1369.0,689.0,3.0,2021-08-11,Arkansas,zone1,2
308.0,603.0,501.0,1044.0,2257.0,2839.0,2746.0,3034.0,1747.0,828.0,1.0,2021-08-11,Arkansas,zone1,2
280.5,485.0,320.5,875.0,2585.0,3128.0,3713.5,3473.5,2119.0,1264.5,4.0,2021-08-11,Arkansas,zone1,2
211.0,382.0,234.0,595.0,2977.0,4074.0,4016.0,4256.0,1655.0,731.0,4.0,2021-08-11,Arkansas,zone1,2
262.0,531.0,251.0,849.0,3767.0,4886.0,4623.0,4980.0,2224.0,981.0,4.0,2021-08-11,Arkansas,zone1,2
282.0,549.5,323.5,935.5,3821.0,4906.0,4854.0,5138.0,2465.0,1217.5,4.0,2021-08-11,Arkansas,zone1,2
254.0,513.0,329.0,894.0,2888.0,3871.0,3796.0,4200.0,1538.0,739.0,3.0,2021-08-11,Arkansas,zone1,2
301.0,588.0,282.0,931.0,3036.0,4471.0,4260.0,4821.0,1382.0,618.0,3.0,2021-08-11,Arkansas,zone1,2
186.0,401.0,196.0,600.0,2759.0,4481.0,4500.0,4762.0,1506.0,671.0,3.0,2021-08-11,Arkansas,zone1,2
1177.5,1336.5,1133.0,1741.0,3303.5,3932.5,3602.0,4085.0,2509.0,1481.5,5.0,2021-08-11,Arkansas,zone1,2
357.0,716.0,380.0,1179.0,3457.0,4524.0,4584.0,4890.0,1641.0,804.0,3.0,2021-08-11,Arkansas,zone1,2
535.0,869.0,744.0,1205.0,3747.0,4747.0,4664.0,5022.0,2733.0,1564.0,4.0,2021-08-11,Arkansas,zone1,2
269.0,486.0,283.0,716.0,3356.0,4585.0,4152.0,4791.0,1901.0,848.0,4.0,2021-08-11,Arkansas,zone1,2
373.5,640.0,487.0,975.0,2747.0,3679.5,3684.0,4125.0,1934.0,906.5,1.0,2021-08-11,Arkansas,zone1,2
286.0,593.0,287.0,939.0,3067.0,4005.0,3872.0,4245.0,1483.0,674.0,3.0,2021-08-11,Arkansas,zone1,2
229.0,385.0,252.0,547.0,2710.0,4287.0,4230.0,4565.5,1536.5,619.0,1.0,2021-08-11,Arkansas,zone1,2
684.0,990.0,1124.0,1609.0,2834.0,3621.0,3591.0,4268.0,2902.0,1742.0,5.0,2021-08-11,Arkansas,zone1,2
310.0,720.0,331.0,1230.0,3588.0,4814.0,4812.0,5200.0,1696.0,761.0,3.0,2021-08-11,Arkansas,zone1,2
218.0,471.0,244.0,784.0,2622.0,3809.0,3764.0,4139.0,1219.0,535.0,3.0,2021-08-11,Arkansas,zone1,2
296.0,603.0,290.0,914.0,3208.0,4597.0,4576.0,4827.0,1507.0,650.0,3.0,2021-08-11,Arkansas,zone1,2
270.0,450.0,231.0,663.0,2776.0,4297.0,4240.0,4623.0,1293.0,560.0,3.0,2021-08-11,Arkansas,zone1,2
424.0,682.0,505.0,974.0,3867.0,5048.0,4544.0,5290.0,2599.0,1266.0,4.0,2021-08-11,Arkansas,zone1,2
916.5,1135.0,831.5,1499.0,3510.0,4519.5,4650.0,4883.5,2413.0,1212.5,1.0,2021-08-11,Arkansas,zone1,2
289.0,602.0,287.0,996.0,3368.0,4613.0,4596.0,4865.0,1917.0,872.0,3.0,2021-08-11,Arkansas,zone1,2
234.0,442.0,231.0,661.0,3825.0,5256.0,5047.0,5451.0,2193.0,918.0,4.0,2021-08-11,Arkansas,zone1,2
290.0,610.0,308.0,973.0,3119.0,4614.0,4712.0,4873.0,1370.0,605.0,3.0,2021-08-11,Arkansas,zone1,2
2828.0,2714.5,2702.0,3215.0,4191.5,5050.5,4708.0,5085.5,3507.5,2779.5,3.0,2021-08-11,Arkansas,zone1,2
311.0,561.0,288.0,911.0,4457.0,5837.0,5416.0,6036.0,2588.0,1190.0,4.0,2021-08-11,Arkansas,zone1,2
349.0,540.0,287.5,821.5,4410.5,6088.0,5936.0,6447.5,2663.5,1180.5,4.0,2021-08-11,Arkansas,zone1,2
244.0,471.5,296.5,778.5,2950.0,3830.0,3792.0,4250.5,1842.0,925.5,4.0,2021-08-11,Arkansas,zone1,2
288.5,584.5,294.0,1121.0,2958.5,3884.5,3996.5,4144.0,1813.5,1024.0,3.0,2021-08-11,Arkansas,zone1,2
1012.0,1410.0,1776.0,2260.0,2657.0,2891.0,2980.0,3192.0,4548.0,3835.0,4.0,2021-08-11,Arkansas,zone1,2
348.0,746.0,373.0,1244.0,3219.0,3925.0,3819.0,4142.0,1483.0,711.0,3.0,2021-08-11,Arkansas,zone1,2
2418.0,2386.0,1982.5,2681.0,3462.0,3578.0,4318.0,3502.5,3425.0,1894.0,4.0,2021-08-11,Arkansas,zone1,2
354.0,638.0,610.0,1267.0,2489.0,3147.0,3132.0,3602.0,2330.0,1365.0,1.0,2021-08-11,Arkansas,zone1,2
320.0,672.0,369.0,1063.0,3406.0,4556.0,4612.0,4897.0,1627.0,752.0,3.0,2021-08-11,Arkansas,zone1,2
315.5,435.0,301.5,672.0,1978.0,2776.5,3103.0,2870.5,1566.5,852.5,4.0,2021-08-11,Arkansas,zone1,2
213.5,452.5,229.0,734.5,3481.0,4341.0,4386.0,4669.0,1957.5,863.0,4.0,2021-08-11,Arkansas,zone1,2
260.0,484.0,232.0,818.0,4237.0,5437.0,5376.0,5728.0,2419.0,1006.0,4.0,2021-08-11,Arkansas,zone1,2
211.0,396.0,202.0,635.0,2908.0,4582.0,4440.0,4890.0,1446.0,593.0,3.0,2021-08-11,Arkansas,zone1,2
204.0,389.0,157.0,619.0,2765.0,4027.0,4028.0,4259.0,1318.0,561.0,3.0,2021-08-11,Arkansas,zone1,2
392.0,601.0,326.5,865.0,3266.0,5027.5,5016.0,5364.5,1736.0,806.0,3.0,2021-08-11,Arkansas,zone1,2
269.0,528.0,304.0,761.0,2662.0,3629.0,3697.0,3825.0,1597.0,683.0,1.0,2021-08-11,Arkansas,zone1,2
406.0,766.0,420.0,1258.0,3434.0,4315.0,4160.0,4546.0,1813.0,887.0,3.0,2021-08-11,Arkansas,zone1,2
348.0,654.0,475.0,928.0,2859.0,3619.0,3628.0,3956.0,1902.0,948.0,1.0,2021-08-11,Arkansas,zone1,2
310.0,542.0,436.0,961.0,2247.0,2680.0,2702.0,2949.0,2115.0,1060.0,4.0,2021-08-11,Arkansas,zone1,2
263.0,521.0,236.0,827.0,2971.0,4257.0,4096.0,4433.0,1520.0,667.0,3.0,2021-08-11,Arkansas,zone1,2
322.0,596.0,408.0,974.0,3214.0,3926.0,3521.0,4043.0,1953.0,911.0,4.0,2021-08-11,Arkansas,zone1,2
531.0,836.0,812.0,1487.0,2835.0,3362.0,3489.0,3842.0,3164.0,1665.0,5.0,2021-08-11,Arkansas,zone1,2
2373.0,2523.0,2424.0,3237.0,4547.0,5176.5,4840.0,5376.5,3361.0,2858.5,3.0,2021-08-11,Arkansas,zone1,2
468.0,790.0,800.0,1521.0,2543.0,3108.0,3256.0,3422.0,2791.0,1600.0,1.0,2021-08-11,Arkansas,zone1,2
346.0,551.0,428.0,816.0,2440.0,3228.0,2921.0,3358.0,1930.0,1028.0,4.0,2021-08-11,Arkansas,zone1,2
292.0,520.0,264.0,837.0,4589.0,6262.0,6084.0,6544.0,2769.0,1257.0,4.0,2021-08-11,Arkansas,zone1,2
603.5,615.0,420.0,800.5,2392.5,3116.5,2888.0,3224.5,1648.0,974.0,4.0,2021-08-11,Arkansas,zone1,2
240.0,430.0,232.0,786.0,2717.0,3818.0,3656.0,4067.0,1558.0,693.0,3.0,2021-08-11,Arkansas,zone1,2
342.0,782.0,485.0,1347.0,3240.0,3826.0,3760.0,4057.0,1377.0,677.0,3.0,2021-08-11,Arkansas,zone1,2
180.0,263.0,164.0,425.0,1304.0,1527.0,1196.0,1597.0,694.0,343.0,4.0,2021-08-11,Arkansas,zone1,2
420.5,532.5,464.0,677.5,1894.0,2515.5,2316.0,2668.0,1481.0,773.5,4.0,2021-08-11,Arkansas,zone1,2
452.0,714.5,583.5,1052.5,3566.0,4723.5,4654.0,4952.5,2493.0,1381.0,4.0,2021-08-11,Arkansas,zone1,2
299.0,478.0,316.0,688.0,2991.0,3958.0,3896.0,4301.0,1990.0,918.0,4.0,2021-08-11,Arkansas,zone1,2
525.0,865.0,1042.0,1629.0,2804.0,3418.0,3452.0,3880.0,2728.0,1536.0,1.0,2021-08-11,Arkansas,zone1,2
223.0,390.0,206.0,626.0,3491.0,4710.0,4652.0,4928.0,2022.0,848.0,4.0,2021-08-11,Arkansas,zone1,2
312.0,464.5,260.0,720.5,4196.5,6078.0,5932.0,6453.0,2353.5,975.5,4.0,2021-08-11,Arkansas,zone1,2
3005.0,2839.5,2428.5,2820.0,5106.5,6018.0,6392.0,5994.0,3659.0,2203.0,4.0,2021-08-11,Arkansas,zone1,2
300.0,522.0,257.0,753.0,4234.0,5657.0,5195.0,5860.0,2285.0,1041.0,4.0,2021-08-11,Arkansas,zone1,2
374.0,518.0,275.5,731.0,4468.0,6518.5,6414.0,6846.5,2664.0,1117.5,4.0,2021-08-11,Arkansas,zone1,2
543.0,879.0,628.5,1319.5,3474.5,4204.5,4110.0,4415.0,2952.0,1712.0,4.0,2021-08-11,Arkansas,zone1,2
286.0,524.0,330.0,765.0,2855.0,4280.0,4072.0,4567.0,1792.0,793.0,1.0,2021-08-11,Arkansas,zone1,2
490.0,719.0,397.0,1104.0,4492.0,5799.0,5716.0,5995.0,2353.0,919.0,2.0,2021-08-11,Arkansas,zone1,2
264.0,570.0,274.0,944.0,3005.0,4347.0,4296.0,4599.0,1319.0,586.0,3.0,2021-08-11,Arkansas,zone1,2
686.0,1065.0,1025.0,1578.5,3771.0,4495.0,4381.5,4686.5,3455.5,2286.5,4.0,2021-08-11,Arkansas,zone1,2
388.5,580.0,316.5,918.0,4289.5,5787.5,5648.0,6063.0,2471.5,1105.5,4.0,2021-08-11,Arkansas,zone1,2
339.0,594.0,379.0,933.0,2789.0,3516.0,3552.0,3750.0,1696.0,778.0,1.0,2021-08-11,Arkansas,zone1,2
267.5,536.0,260.0,879.5,4475.0,5878.5,5832.0,6151.5,2646.5,1221.0,4.0,2021-08-11,Arkansas,zone1,2
261.0,510.0,241.0,800.0,4074.0,5630.0,5680.0,5913.0,2436.0,1103.0,4.0,2021-08-11,Arkansas,zone1,2
310.0,607.0,346.0,1034.0,2541.0,3376.0,3276.0,3564.0,1235.0,574.0,3.0,2021-08-11,Arkansas,zone1,2
272.0,500.0,371.5,880.5,2376.5,3262.0,3564.0,3578.0,1998.0,1017.0,1.0,2021-08-11,Arkansas,zone1,2
344.0,651.0,414.0,1239.0,2668.0,3292.0,3373.0,3584.0,2101.0,1268.0,3.0,2021-08-11,Arkansas,zone1,2
