B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
404.0,794.0,576.0,1438.0,2803.0,3226.0,3528.0,3525.0,2286.0,1307.0,4.0,2021-10-01,Arkansas,zone1,1
4564.0,5340.0,5216.0,5362.0,5316.0,5077.0,5800.0,4990.0,5284.0,4292.0,4.0,2021-10-01,Arkansas,zone1,1
1918.0,2129.0,2497.0,2953.5,3309.5,3446.0,3432.0,3682.0,4290.0,3706.0,1.0,2021-10-01,Arkansas,zone1,1
685.0,785.0,891.0,1461.0,2044.0,2295.5,2378.0,2752.5,3160.0,2007.0,2.0,2021-10-01,Arkansas,zone1,1
848.0,1102.0,1361.0,1844.0,2241.5,2423.0,2377.0,2712.5,3379.5,2293.5,3.0,2021-10-01,Arkansas,zone1,1
414.0,642.0,761.0,1138.0,1377.0,1531.0,1578.0,1816.0,2444.0,1711.0,4.0,2021-10-01,Arkansas,zone1,1
5934.0,5448.0,5446.0,6025.0,5708.0,5589.5,5700.0,5571.0,5704.0,4844.0,4.0,2021-10-01,Arkansas,zone1,1
564.0,660.0,778.0,943.0,1001.0,1132.0,1168.0,1334.0,2497.0,1876.0,4.0,2021-10-01,Arkansas,zone1,1
704.0,922.0,1178.0,1546.0,1708.0,1885.0,1954.0,2109.0,3372.0,2415.0,4.0,2021-10-01,Arkansas,zone1,1
490.0,672.0,911.0,1111.0,1271.0,1414.0,1465.0,1655.0,3048.0,2298.0,4.0,2021-10-01,Arkansas,zone1,1
599.5,980.0,1000.5,1709.5,2312.0,2589.5,2763.0,2854.5,2599.0,1601.0,3.0,2021-10-01,Arkansas,zone1,1
767.0,912.0,1158.0,1386.0,1482.0,1610.0,1654.0,1809.0,3194.0,2421.0,4.0,2021-10-01,Arkansas,zone1,1
353.0,477.0,626.0,800.0,912.5,1031.0,1189.0,1222.5,1772.0,1191.5,4.0,2021-10-01,Arkansas,zone1,1
760.0,994.0,1370.0,1646.0,1778.0,1921.0,1976.0,2142.0,3034.0,2303.0,1.0,2021-10-01,Arkansas,zone1,1
618.0,774.0,950.0,1212.0,1364.0,1525.0,1660.0,1828.0,3055.0,2224.0,4.0,2021-10-01,Arkansas,zone1,1
