B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
302.0,554.0,318.0,1030.0,3477.0,4177.0,4516.0,4548.0,2330.0,1151.0,4.0,2021-09-21,Arkansas,zone1,3
376.0,832.0,702.0,1697.0,2545.0,2874.0,3132.0,3459.0,2106.0,1162.0,4.0,2021-09-21,Arkansas,zone1,3
788.0,1062.0,1576.0,1901.0,2036.0,2243.0,2376.0,2485.0,3557.0,3201.0,1.0,2021-09-21,Arkansas,zone1,3
350.0,509.0,465.5,1418.5,3221.5,3750.5,3877.5,4151.5,2390.0,1173.5,2.0,2021-09-21,Arkansas,zone1,3
838.0,1168.0,1568.0,2069.0,2193.0,2393.0,2476.0,2646.0,3851.0,2850.0,3.0,2021-09-21,Arkansas,zone1,3
348.0,750.0,466.0,1308.0,2942.0,3330.0,3508.0,3700.0,2128.0,1028.0,4.0,2021-09-21,Arkansas,zone1,3
484.0,776.5,999.0,1522.0,1867.5,2089.5,2377.0,2492.0,3036.0,2000.5,4.0,2021-09-21,Arkansas,zone1,3
524.0,670.0,899.0,1117.0,1236.0,1397.0,1590.0,1708.0,2941.0,2105.0,4.0,2021-09-21,Arkansas,zone1,3
573.0,801.0,1073.0,1403.5,1622.0,1865.0,2039.0,2122.0,3265.0,2365.5,4.0,2021-09-21,Arkansas,zone1,3
421.5,985.0,828.0,1848.5,3349.5,3819.5,3892.0,4234.0,2252.5,1231.0,4.0,2021-09-21,Arkansas,zone1,3
560.5,1033.0,1065.0,1980.0,2751.0,3056.0,3318.0,3418.0,2517.0,1500.5,3.0,2021-09-21,Arkansas,zone1,3
510.0,664.0,922.0,1036.0,1153.0,1233.0,1434.0,1508.0,2794.0,2126.0,4.0,2021-09-21,Arkansas,zone1,3
391.0,738.5,556.0,1416.0,2466.0,2754.5,3023.0,3197.5,2312.0,1285.5,4.0,2021-09-21,Arkansas,zone1,3
402.5,689.5,826.5,1436.0,1859.5,2136.5,2382.0,2578.5,2551.5,1672.5,4.0,2021-09-21,Arkansas,zone1,3
888.0,1209.0,1590.0,1965.0,2164.0,2321.0,2413.0,2593.5,3695.5,2925.0,1.0,2021-09-21,Arkansas,zone1,3
366.0,756.0,650.0,1400.0,2114.0,2374.0,2812.0,2808.0,2234.0,1297.0,4.0,2021-09-21,Arkansas,zone1,3
632.0,908.0,1070.0,1477.0,1955.0,2181.0,2326.0,2423.0,2634.0,1763.0,3.0,2021-09-21,Arkansas,zone1,3
602.0,949.0,1126.0,1666.0,2158.0,2387.0,2558.0,2682.0,1748.0,1040.0,3.0,2021-09-21,Arkansas,zone1,3
