B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
378.0,556.5,640.0,1136.5,2052.0,2344.5,2500.0,2701.0,1991.5,1294.0,5.0,2021-11-01,California,zone2,1
668.0,987.5,1315.0,1514.5,1506.5,1672.5,1647.0,1741.5,2829.0,2673.0,1.0,2021-11-01,California,zone2,1
389.0,643.0,689.0,1174.0,1577.0,1806.5,1926.0,2069.5,2522.0,1737.0,6.0,2021-11-01,California,zone2,1
392.0,557.0,717.0,967.0,1426.0,1560.0,1966.0,1623.0,2651.5,2524.0,6.0,2021-11-01,California,zone2,1
553.0,816.0,1130.0,1264.0,1326.0,1498.0,1556.0,1690.0,2746.0,2405.0,6.0,2021-11-01,California,zone2,1
799.0,1076.0,1324.0,1341.5,1739.0,1888.0,1949.0,2140.5,2485.5,1840.5,6.0,2021-11-01,California,zone2,1
937.0,1303.0,1763.0,2052.0,2152.0,2328.0,2475.0,2560.5,4018.0,3265.0,6.0,2021-11-01,California,zone2,1
419.5,693.0,905.0,1184.5,1395.0,1570.0,1675.0,1813.5,2679.0,2242.0,1.0,2021-11-01,California,zone2,1
481.5,803.0,1070.0,1386.0,1675.0,1870.0,1905.0,2044.5,2620.0,2351.5,1.0,2021-11-01,California,zone2,1
294.0,556.0,698.0,1102.0,1876.0,2174.0,2216.0,2539.0,2161.0,1367.0,5.0,2021-11-01,California,zone2,1
580.0,924.5,1264.0,1582.0,1889.0,2072.5,2096.0,2284.0,2716.0,2347.5,6.0,2021-11-01,California,zone2,1
644.0,1012.0,1092.0,1605.0,2748.0,2972.0,3050.0,3134.0,2798.0,2007.0,3.0,2021-11-01,California,zone2,1
299.5,575.0,686.0,1248.0,2007.5,2328.0,2400.0,2682.0,1914.0,1258.5,5.0,2021-11-01,California,zone2,1
496.0,821.0,1068.0,1515.0,2056.0,2312.0,2280.0,2491.0,2677.0,1963.0,6.0,2021-11-01,California,zone2,1
776.5,1126.0,1380.0,1451.5,1452.5,1508.5,1623.0,1579.5,2130.0,1762.0,6.0,2021-11-01,California,zone2,1
1070.0,1544.0,1958.0,2194.0,2169.0,2249.5,2214.0,2362.5,2841.0,2373.0,6.0,2021-11-01,California,zone2,1
1644.0,2100.0,2570.0,2894.0,2937.0,3077.0,3124.0,3328.0,4443.0,4182.0,6.0,2021-11-01,California,zone2,1
800.0,1260.0,1793.0,2163.0,2481.5,2680.0,2637.0,2843.5,3633.5,2926.5,1.0,2021-11-01,California,zone2,1
569.0,920.0,1136.0,1552.0,2040.0,2225.0,2364.0,2510.0,2928.0,2233.0,4.0,2021-11-01,California,zone2,1
603.5,733.0,905.0,770.5,875.0,875.5,1250.5,1118.0,1987.0,1825.0,6.0,2021-11-01,California,zone2,1
386.5,720.5,800.5,1289.5,1948.5,2174.5,2286.0,2422.0,2395.0,1806.5,1.0,2021-11-01,California,zone2,1
338.5,502.5,652.5,1084.0,1485.0,1617.5,1737.0,1923.0,2199.0,1565.5,1.0,2021-11-01,California,zone2,1
666.0,994.0,1106.0,1625.0,2442.0,2707.0,2906.0,3055.0,3341.0,2473.0,3.0,2021-11-01,California,zone2,1
308.0,469.0,712.5,1075.5,1383.5,1639.0,1791.0,2063.0,2621.0,1630.0,5.0,2021-11-01,California,zone2,1
351.0,647.0,726.0,1234.5,1612.0,1753.0,1852.0,1948.5,2218.0,1667.0,1.0,2021-11-01,California,zone2,1
830.0,1291.0,1589.0,1739.5,1746.5,1827.5,1786.0,1899.0,2522.0,2307.5,6.0,2021-11-01,California,zone2,1
3003.0,3013.0,2901.0,3527.5,4003.5,4152.0,3958.0,4292.0,2249.0,1493.5,1.0,2021-11-01,California,zone2,1
678.0,1042.0,1360.0,1501.0,1576.0,1733.0,1914.0,1850.0,2791.0,2536.0,6.0,2021-11-01,California,zone2,1
407.5,687.0,760.5,1291.0,2012.5,2323.5,2459.0,2775.0,2748.0,1685.5,6.0,2021-11-01,California,zone2,1
455.0,665.0,750.0,1166.0,1597.0,1765.0,2052.0,2068.0,2447.0,1964.0,1.0,2021-11-01,California,zone2,1
702.0,1042.0,1482.0,1820.0,1863.0,2048.0,1992.0,2228.0,3502.0,3090.0,1.0,2021-11-01,California,zone2,1
1044.0,1472.0,1917.0,2346.0,2615.5,2874.5,3084.0,3211.5,3565.5,2718.5,5.0,2021-11-01,California,zone2,1
648.5,1028.0,1471.0,1838.0,2555.5,2966.5,3000.0,3203.5,3041.0,2350.5,6.0,2021-11-01,California,zone2,1
1852.0,2394.0,2828.0,3084.0,3071.0,3122.0,3200.0,3127.0,4446.0,4625.0,1.0,2021-11-01,California,zone2,1
180.0,560.0,410.0,1211.0,2328.0,2703.0,2796.0,3076.0,1957.0,1033.0,1.0,2021-11-01,California,zone2,1
493.5,810.0,995.0,1338.0,2111.0,2445.5,2490.0,2716.5,2393.0,1802.5,4.0,2021-11-01,California,zone2,1
508.0,674.0,950.0,1072.0,1138.0,1290.0,1438.0,1460.0,2369.0,2225.0,6.0,2021-11-01,California,zone2,1
256.0,673.0,274.0,1118.0,4125.0,4637.0,4540.0,4681.0,2144.0,992.0,3.0,2021-11-01,California,zone2,1
862.0,1156.0,1385.0,1589.5,1543.5,1567.0,1547.0,1673.0,2172.5,1690.5,6.0,2021-11-01,California,zone2,1
685.0,969.5,1407.0,1824.5,2023.5,2289.0,2561.0,2833.5,3574.5,2545.5,6.0,2021-11-01,California,zone2,1
744.0,1114.0,1402.0,1819.0,2079.0,2247.0,2388.0,2491.0,3617.0,3178.0,1.0,2021-11-01,California,zone2,1
414.0,687.0,785.5,1184.0,2187.5,2516.0,2590.0,2722.5,2034.0,1426.5,1.0,2021-11-01,California,zone2,1
374.0,715.0,766.0,1264.0,2352.0,2688.0,2776.0,2936.0,2111.0,1377.0,4.0,2021-11-01,California,zone2,1
395.5,693.0,797.5,1263.0,1778.0,1920.5,1911.0,2138.5,2248.0,1825.5,1.0,2021-11-01,California,zone2,1
1034.0,1307.0,1523.0,1688.0,1738.0,1819.0,1792.0,1930.5,2820.5,2611.0,6.0,2021-11-01,California,zone2,1
480.5,813.0,1146.0,1759.5,2575.0,2892.5,3077.5,3303.0,2704.5,1678.0,5.0,2021-11-01,California,zone2,1
406.0,611.0,780.0,1196.0,1534.0,1793.0,1888.0,2232.0,2319.0,1456.0,5.0,2021-11-01,California,zone2,1
272.0,656.0,326.0,1025.0,3265.0,3636.0,3940.0,3725.0,1813.0,922.0,3.0,2021-11-01,California,zone2,1
556.0,897.0,1020.5,1507.5,1997.0,2243.0,2353.0,2534.0,2396.0,1966.0,1.0,2021-11-01,California,zone2,1
904.0,1230.0,1508.0,1665.0,1765.0,1904.0,2048.0,2156.0,3694.0,3454.0,6.0,2021-11-01,California,zone2,1
732.0,922.0,1245.0,1501.5,1658.0,1863.5,2145.0,2353.5,2636.5,1804.5,6.0,2021-11-01,California,zone2,1
3648.0,3588.0,3372.0,3739.0,4278.0,4463.5,4426.0,4547.0,2315.0,1613.5,1.0,2021-11-01,California,zone2,1
600.0,1058.0,1151.0,1851.0,2467.0,2635.0,2815.0,2982.5,3180.0,2286.0,6.0,2021-11-01,California,zone2,1
265.0,626.0,621.5,1105.5,1879.5,2198.0,2298.0,2506.0,1752.0,1170.0,1.0,2021-11-01,California,zone2,1
440.0,673.0,849.0,1155.0,1572.0,1777.0,1950.0,2028.0,2633.0,2174.0,1.0,2021-11-01,California,zone2,1
866.0,1052.0,1206.0,1363.0,1410.0,1483.0,1522.0,1615.0,2692.0,2506.0,6.0,2021-11-01,California,zone2,1
567.0,942.5,1116.0,1575.5,1926.0,2124.0,2186.0,2384.0,2550.0,2008.5,1.0,2021-11-01,California,zone2,1
1212.0,1810.0,2249.0,2502.5,2571.5,2711.0,2698.0,2801.0,3495.5,2887.5,6.0,2021-11-01,California,zone2,1
