B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,class_label,date,state,zone,csv_id
449.5,668.5,736.0,1202.0,1817.5,2078.0,2303.0,2409.5,2120.0,1423.0,5.0,2021-11-11,California,zone2,2
777.5,1094.0,1409.0,1613.5,1610.5,1697.5,1751.0,1779.5,2815.0,2642.0,1.0,2021-11-11,California,zone2,2
558.5,730.5,820.0,1146.0,1404.5,1629.0,1815.5,1851.5,2202.5,1412.0,6.0,2021-11-11,California,zone2,2
749.0,912.0,1142.0,1313.0,1490.0,1679.0,1770.0,1834.0,3131.0,3025.0,6.0,2021-11-11,California,zone2,2
215.0,355.0,476.0,564.0,693.0,804.0,847.0,889.0,1569.0,1339.0,6.0,2021-11-11,California,zone2,2
562.0,781.0,798.0,1179.5,1686.5,1845.0,1942.0,2088.5,2034.0,1378.0,6.0,2021-11-11,California,zone2,2
1344.0,1574.0,1751.0,1970.5,2080.0,2178.5,2312.0,2359.0,3126.5,2439.0,6.0,2021-11-11,California,zone2,2
584.5,773.0,829.0,1163.5,1509.5,1640.5,1775.5,1883.0,2497.0,2093.0,1.0,2021-11-11,California,zone2,2
658.0,933.5,1115.0,1455.0,1801.0,1951.5,2012.5,2114.5,2487.0,2163.0,1.0,2021-11-11,California,zone2,2
398.0,643.0,828.0,1265.0,1728.0,1975.0,2250.0,2350.0,2522.0,1614.0,5.0,2021-11-11,California,zone2,2
758.0,1096.0,1328.0,1706.0,2076.0,2254.0,2320.0,2448.0,2908.0,2517.0,6.0,2021-11-11,California,zone2,2
540.0,890.0,832.0,1344.0,2947.0,3269.0,3356.0,3393.0,2530.0,1704.0,3.0,2021-11-11,California,zone2,2
339.5,639.5,792.0,1342.5,1948.0,2215.0,2526.0,2614.5,1929.5,1235.5,5.0,2021-11-11,California,zone2,2
3434.0,3379.0,3427.0,3669.0,3983.0,4162.0,4153.5,4235.0,3864.0,3194.0,6.0,2021-11-11,California,zone2,2
662.5,1080.0,1335.0,1513.0,1520.5,1589.0,1684.0,1699.5,2303.5,1908.0,6.0,2021-11-11,California,zone2,2
1046.0,1502.0,1935.0,2159.0,2137.5,2202.5,2281.0,2305.5,2788.5,2297.0,6.0,2021-11-11,California,zone2,2
893.0,1234.0,1588.0,1774.0,1931.0,2076.0,2214.0,2275.0,3350.0,3191.0,6.0,2021-11-11,California,zone2,2
718.0,1078.0,1490.0,1756.0,2033.0,2221.5,2330.0,2393.5,3338.0,2906.0,1.0,2021-11-11,California,zone2,2
600.0,941.0,1214.0,1513.0,1892.0,2038.0,2238.0,2294.0,2918.0,2297.0,4.0,2021-11-11,California,zone2,2
742.0,937.0,1122.0,1073.0,1082.0,1104.0,1529.0,1205.0,2417.0,2500.0,6.0,2021-11-11,California,zone2,2
4752.0,4828.0,4988.0,5437.5,5461.0,5486.5,5568.0,5592.0,5922.0,5421.0,1.0,2021-11-11,California,zone2,2
4024.0,4148.0,4354.0,4658.5,4625.5,4750.0,4938.0,4913.5,5470.5,4829.0,1.0,2021-11-11,California,zone2,2
628.0,980.0,1108.0,1609.0,2392.0,2658.0,2820.0,2899.0,3338.0,2652.0,3.0,2021-11-11,California,zone2,2
697.0,736.0,887.5,1264.0,1474.0,1677.0,1914.5,2063.0,2708.5,1832.0,5.0,2021-11-11,California,zone2,2
669.0,831.0,876.5,1253.5,1559.5,1671.5,1741.0,1812.5,2054.5,1679.5,1.0,2021-11-11,California,zone2,2
841.5,1250.0,1524.0,1668.5,1664.0,1738.5,1773.0,1797.0,2403.5,2164.0,6.0,2021-11-11,California,zone2,2
3026.0,3170.0,3091.0,3565.0,3927.0,4030.0,4122.0,4128.5,2334.5,1587.5,1.0,2021-11-11,California,zone2,2
1460.0,1676.5,1840.0,1843.0,1980.0,2074.0,2368.0,2135.5,2805.5,2495.0,6.0,2021-11-11,California,zone2,2
443.0,748.0,812.0,1286.0,2013.0,2256.0,2564.0,2715.0,2691.0,1738.0,6.0,2021-11-11,California,zone2,2
440.0,606.0,629.0,1080.0,1484.0,1623.0,1757.0,1843.0,2431.0,2014.0,1.0,2021-11-11,California,zone2,2
624.0,840.0,1118.0,1306.0,1484.0,1525.0,1686.0,1875.0,2973.0,2624.0,1.0,2021-11-11,California,zone2,2
3388.0,3536.0,3828.0,4067.0,4087.0,4130.0,4256.0,4274.0,4753.0,4488.0,5.0,2021-11-11,California,zone2,2
686.5,1008.0,1362.0,1677.5,2399.0,2786.0,2903.0,3021.0,2906.5,2303.5,6.0,2021-11-11,California,zone2,2
1936.0,2470.0,2920.0,3096.0,3070.0,3158.0,3244.0,3186.0,4478.0,4898.0,1.0,2021-11-11,California,zone2,2
304.0,662.0,477.0,1237.0,2193.0,2435.0,2692.0,2803.0,1904.0,1028.0,1.0,2021-11-11,California,zone2,2
551.5,848.0,953.0,1338.0,2188.0,2454.0,2533.0,2727.0,2289.0,1668.5,4.0,2021-11-11,California,zone2,2
435.0,587.0,848.0,989.0,1047.0,1167.0,1267.0,1324.0,2361.0,2310.0,6.0,2021-11-11,California,zone2,2
262.0,582.0,213.0,916.0,4131.0,4890.0,4808.0,4918.0,2142.0,950.0,3.0,2021-11-11,California,zone2,2
624.5,923.0,1096.0,1209.0,1171.0,1233.0,1283.0,1307.0,1897.0,1515.0,6.0,2021-11-11,California,zone2,2
617.5,783.0,989.0,1082.5,1123.5,1233.0,1350.0,1439.5,2409.0,2235.0,6.0,2021-11-11,California,zone2,2
746.0,1036.0,1234.0,1494.0,1724.0,1898.0,2110.0,2111.0,3074.0,2575.0,1.0,2021-11-11,California,zone2,2
613.0,669.0,591.0,739.5,1105.5,1218.5,1246.5,1266.0,788.0,532.0,1.0,2021-11-11,California,zone2,2
411.0,768.0,822.0,1328.0,2239.0,2504.0,2766.0,2783.0,2185.0,1525.0,4.0,2021-11-11,California,zone2,2
481.0,702.5,803.5,1204.0,1745.0,1908.0,1893.0,2052.0,2138.5,1710.0,1.0,2021-11-11,California,zone2,2
993.0,1209.0,1488.0,1641.0,1656.5,1765.5,1791.0,1899.0,2702.5,2477.0,6.0,2021-11-11,California,zone2,2
603.5,803.5,1045.0,1567.5,2084.0,2378.5,2560.0,2783.0,2821.5,1735.5,5.0,2021-11-11,California,zone2,2
