pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
9112,4,Almonds,california,16,2021-06-10,-120.56805959456467,37.39798817200083,322.0,603.0,447.5,998.5,2674.5,3192.0,3353.0,3447.0,1941.0,1073.5,1
9113,4,Almonds,california,16,2021-06-10,-122.10777199154553,39.6307508106799,1382.0,1836.0,2210.0,2543.0,2759.0,3040.0,3124.0,3209.0,3800.0,3248.0,1
9114,4,Almonds,california,16,2021-06-10,-119.1981287862824,35.90094575101565,555.5,856.0,1007.0,1462.5,2356.5,2681.5,2904.0,2981.0,2816.0,1923.0,1
9115,4,Almonds,california,16,2021-06-10,-121.16543925850415,37.60909226376892,346.0,560.0,535.5,993.5,2200.0,2533.5,2464.0,2788.5,1989.0,1169.5,1
9116,4,Almonds,california,16,2021-06-10,-120.7351462374109,36.807345872692245,922.5,1451.0,1686.0,2201.0,3252.0,3633.5,3788.0,3850.5,3308.5,2547.5,1
9117,4,Almonds,california,16,2021-06-10,-122.0556697050666,39.678810678380295,332.5,617.5,473.0,1010.0,2492.0,2887.5,3113.0,3102.5,1923.5,1025.5,1
9118,4,Almonds,california,16,2021-06-10,-119.16713690898028,35.864114824366744,595.5,823.0,915.0,1263.5,2281.0,2674.5,2825.0,2932.0,2478.0,1636.0,1
9119,4,Almonds,california,16,2021-06-10,-119.20396783562919,35.54161963736784,398.0,618.5,510.0,941.0,2594.5,3186.5,3304.0,3379.5,1790.5,999.5,1
9120,4,Almonds,california,16,2021-06-10,-121.87735412116888,38.49662776447901,1050.0,1456.0,1875.0,2057.0,2174.0,2334.0,2356.0,2482.5,3811.5,3465.5,1
9121,4,Almonds,california,16,2021-06-10,-120.41534599626435,37.34723335844808,535.5,897.5,1028.5,1558.5,3015.5,3551.5,3758.0,3827.5,2755.0,1876.5,1
9122,4,Almonds,california,16,2021-06-10,-119.39261404529428,36.21580525809954,753.5,1058.0,1143.0,1577.0,2424.5,2693.0,2856.0,2958.0,2967.5,2371.5,1
9123,4,Almonds,california,16,2021-06-10,-120.26038660975374,36.858100686244995,457.0,729.5,608.0,1199.5,2700.0,3195.0,3526.0,3480.0,2276.0,1427.5,1
9124,4,Almonds,california,16,2021-06-10,-120.66867090638605,36.67349689535844,567.5,972.0,834.0,1335.0,3399.5,4071.5,4144.0,4291.5,2215.0,1378.5,1
9125,4,Almonds,california,16,2021-06-10,-119.42180929202816,35.54386542557814,613.0,950.0,912.0,1401.5,2632.5,3002.5,3226.0,3194.0,2417.5,1637.5,1
9126,4,Almonds,california,16,2021-06-10,-121.58180839269355,38.437338955727114,884.0,1217.0,1494.0,1923.0,3273.5,3808.0,3504.0,4006.5,2834.0,1771.0,1
9127,4,Almonds,california,16,2021-06-10,-120.45397355348149,36.96275441684492,348.5,669.5,457.0,1069.0,2953.5,3529.0,3638.0,3789.5,1814.5,963.5,1
9128,4,Almonds,california,16,2021-06-10,-121.83064172639466,39.65770026920349,469.5,742.5,785.5,1179.5,2015.5,2275.5,2491.5,2472.0,2347.5,1574.5,1
9129,4,Almonds,california,16,2021-06-10,-122.17110321907596,39.69048877707385,857.5,1328.0,2033.0,2327.0,2720.5,3002.5,3319.0,3340.5,4034.0,2973.5,1
9130,4,Almonds,california,16,2021-06-10,-121.98919437404176,38.94264130304435,1078.0,1474.0,1847.0,1910.0,2483.5,2796.0,2624.0,2987.5,3190.5,2466.5,1
9131,4,Almonds,california,16,2021-06-10,-119.25023107276134,35.530390696316346,680.0,1012.0,1150.0,1590.5,3011.5,3580.0,3768.0,3825.5,3032.5,2226.5,1
9132,4,Almonds,california,16,2021-06-10,-119.42225844967022,35.57800140637468,431.0,723.0,574.0,1130.5,2749.0,3248.0,3424.0,3476.0,2021.5,1179.0,1
9133,4,Almonds,california,16,2021-06-10,-120.69696783783583,37.6751184371517,300.5,590.0,435.0,1192.0,2535.5,3009.0,3253.0,3191.5,2291.5,1411.0,1
9134,4,Almonds,california,16,2021-06-10,-119.76810983405623,35.60629833782445,1316.0,1975.0,2536.0,2792.0,2894.0,3038.0,3139.0,3112.5,4269.5,3729.0,1
9135,4,Almonds,california,16,2021-06-10,-122.25195159464671,40.04083173788047,812.0,1176.0,1430.0,1940.0,2779.0,3103.0,3318.0,3492.5,3721.5,2441.5,1
9136,4,Almonds,california,16,2021-06-10,-120.33180267484124,36.529317292257254,422.5,739.5,583.5,1208.5,2926.0,3412.0,3694.0,3637.0,2017.5,1102.0,1
9137,4,Almonds,california,16,2021-06-10,-119.93789142275483,36.838337749994366,550.5,935.0,947.0,1635.0,3066.0,3503.5,3748.0,3908.5,2887.0,1719.0,1
9138,4,Almonds,california,16,2021-06-10,-122.17559479549655,39.09535490134467,420.0,708.5,629.0,1099.0,2536.0,2846.0,2900.0,3112.0,1939.5,1057.0,1
9139,4,Almonds,california,16,2021-06-10,-120.84474070207348,37.74563618695509,363.0,661.0,515.0,1074.5,2804.0,3299.0,3328.0,3535.5,1804.0,1010.5,1
9140,4,Almonds,california,16,2021-06-10,-119.93250153105011,35.643129264473345,386.0,687.5,482.0,1046.5,2970.5,3530.5,3866.0,3781.0,1786.5,907.5,1
9141,4,Almonds,california,16,2021-06-10,-122.24251928416346,39.24627186907674,636.0,1042.0,1116.0,1726.0,3108.0,3558.0,3736.0,3877.0,3036.0,2147.0,1
9142,4,Almonds,california,16,2021-06-10,-119.36252048327627,35.45583052773443,732.0,1095.0,1171.0,1705.0,3016.0,3499.5,3666.0,3780.0,2915.0,2160.0,1
9143,4,Almonds,california,16,2021-06-10,-119.20711193912359,35.66738377714457,794.0,1091.5,1170.0,1401.0,2743.0,3262.5,3392.0,3470.0,2235.0,1637.5,1
9144,4,Almonds,california,16,2021-06-10,-121.42415406033058,38.08295357614197,805.5,1037.0,1131.0,1522.5,2001.5,2355.5,2453.0,2499.5,3187.0,2590.0,1
9145,4,Almonds,california,16,2021-06-10,-120.41175273512788,37.00946681161914,552.5,863.0,886.0,1334.5,2482.0,2815.0,3000.0,3100.5,2588.0,1937.5,1
9146,4,Almonds,california,16,2021-06-10,-120.37761675433133,36.50057120316543,492.5,813.5,647.0,1250.0,3305.5,3966.0,4330.0,4219.5,2170.0,1257.0,1
9147,4,Almonds,california,16,2021-06-10,-120.62061103868567,36.679785102347275,1238.0,1733.0,2172.0,2523.0,3061.0,3333.5,3464.0,3610.5,3975.5,3255.0,1
