pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,slope,aspect,clay,sand,org_carbon,ph,month,temp,precip
9587,5,Pistachios,california,13,2021-05-11,-119.9783156105402,36.44712144376032,512.0,769.0,752.0,1251.5,2706.0,3205.5,3318.0,3470.0,1967.5,1252.5,1,45.0,0.0,-0.0,22.0,43.0,2.0,75.0,5,294.89658661298853,4.547693097123329e-05
9588,5,Pistachios,california,13,2021-05-11,-119.98684960573934,35.64762084089394,462.5,702.5,683.5,1139.0,2545.0,3043.5,3230.0,3283.5,1906.0,1102.5,1,120.0,1.14226,90.0,27.0,38.0,2.0,74.0,5,297.1721872514294,0.00014667071663865272
9589,5,Pistachios,california,13,2021-05-11,-120.45442271112356,36.71167529493352,371.0,603.0,476.0,903.0,2554.0,3161.0,3396.0,3291.0,1523.0,955.0,1,51.0,0.92740995,180.0,19.0,44.0,2.0,77.0,5,295.81509352243074,4.172183835038368e-05
9590,5,Pistachios,california,13,2021-05-11,-119.3499440692986,35.824588951865486,530.5,780.5,858.0,1205.0,2410.5,2844.5,3007.0,3136.5,2400.0,1544.5,1,71.0,2.1783464,31.6636,29.0,40.0,1.0,82.0,5,297.1354926529752,0.0005216137345982474
9591,5,Pistachios,california,13,2021-05-11,-119.15770459849702,35.14860670056555,1146.0,1573.0,1865.0,2068.0,2891.0,3232.0,3392.0,3352.0,2900.0,2395.0,1,68.0,1.4837974,308.67773,29.0,38.0,2.0,75.0,5,294.38023181628154,0.00019824363553055943
9592,5,Pistachios,california,13,2021-05-11,-119.96124762014192,37.00138197406206,350.5,606.0,583.0,1168.0,2583.0,3063.0,3254.0,3282.5,1913.5,1269.5,1,178.0,2.1856365,148.02757,24.0,45.0,5.0,70.0,5,294.38023181628154,0.00019824363553055943
9593,5,Pistachios,california,13,2021-05-11,-119.3710544784754,35.67187535356517,1006.5,1258.0,1661.0,1971.0,2056.0,2173.5,2242.0,2443.0,3899.0,3263.5,1,54.0,1.482969,308.70337,15.0,46.0,2.0,77.0,5,296.4074915609052,4.0336030359355846e-05
9594,5,Pistachios,california,13,2021-05-11,-119.67333757158164,35.66783293478663,1275.0,1784.0,2279.0,2557.5,2962.5,3204.5,3346.0,3355.5,4232.5,3723.0,1,48.0,0.92740995,-0.0,32.0,33.0,2.0,73.0,5,296.3803893263622,4.266061150559608e-05
9595,5,Pistachios,california,13,2021-05-11,-119.20217120506094,35.72487595532822,406.0,629.5,673.0,1367.5,2426.5,2873.5,2934.0,3153.0,2523.0,1800.5,1,101.0,0.92740995,180.0,24.0,41.0,2.0,78.0,5,296.9791376462547,7.852770649918739e-05
9596,5,Pistachios,california,13,2021-05-11,-118.94435471851864,35.143665966502894,1075.0,1582.0,2118.0,2457.0,2772.5,3015.0,3110.0,3329.0,4562.0,3652.5,1,74.0,2.4704611,67.96335,16.0,50.0,2.0,78.0,5,297.8448655528407,0.00011768795811661904
9597,5,Pistachios,california,13,2021-05-11,-119.55475995407784,35.77563076888097,1619.0,2018.0,2199.0,2292.0,2471.5,2615.0,2861.0,2802.5,4110.0,3822.0,1,60.0,3.0093355,202.5174,25.0,47.0,2.0,78.0,5,297.2294106637278,0.0005347267564488334
9598,5,Pistachios,california,13,2021-05-11,-119.96978161534108,36.31731488520504,1031.0,1416.0,1731.0,1943.5,2290.5,2494.0,2615.0,2610.0,2896.0,2516.0,1,62.0,4.6931458,101.37237,39.0,25.0,2.0,77.0,5,297.4322600210867,0.0007264301952076835
